Sentence1,Sentence2,Gold Label,is_sts
"The Austrian school assumes that the subjective choices of individuals , including individual knowledge , time , expectations , and other subjective factors , cause all economic phenomena .","its dewey model suggests that the subjective characteristics of americans , including individual knowledge , time , expectations , and other subjective factors , cause all possible benefits .",0,0
Werder 's forces invested Belfort and reached the city on 3 November .,Werder ' s forces invest Belfort and reached the city on 3 Nov.,1,0
The kBox facilitates both isometric and concentric contractions as well as eccentric training .,The kBox facilitates both isometrical and concentric contractions every bit intimately as eccentric training.,1,0
"The first five weapons were delivered in the first half of 1916 , with a total of 57 barrels and 56 cars completed by the end of the war .","the first five weapons were delivered before the first half of 1916 , from a total of 57 built with 14 cars completed through november end of that month .",0,0
Elizabeth II was an ancestor of Queens Edzard II and Beatrix of the Netherlands .,Elizabeth II differ an ancestor of Queens Edzard II and Beatrix of the Netherlands.,0,0
The friendship between him and Duncan ended at a club meeting in 1951 when the two disagreed at an annual meeting and Duncan reported that Greaves said :,the argument by him and duncan continued at a club meeting in 1951 when the two practiced at an amateur competition and duncan recalls that lewis said :,0,0
"Pluto was classified as the planet when the Grand Tour was proposed and was launched at the time "" New Horizons "" .","Pluto differ declassify as the planet when the Grand Tour differ proposed and differ abolish at the time "" New Horizons "".",0,0
"For their performances in the game , quarterback Jameis Winston and defensive back P. J. Williams were named the game 's most valuable players .","among his performances in the game , safety scott winston and defensive end p . j . williams was rewarded the game ' s most improved players .",0,0
"Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .","Shaffer Creek differ a tributary of the Raystown Branch Juniata River (Brush Creek) in Bedford County, Pennsylvania, United States.",0,0
Kevin Spacey ( Henry Drummond ) and David Troughton ( Matthew Harrison Brady ) starred in a 2009 revival at The Old Vic in London .,Kevin Spacey ( Henry Drummond ) and David Troughton ( Matthew Harrison Brady ) starred in a 2009 revival at The Old Vic in London .,0,0
"Briggs later met Briggs at the 1967 Monterey Pop Festival , where Ravi Shankar was also performing , with Eric Burdon and The Animals .","Briggs after met Briggs at the 1967 Monterey Pop Fete, where Ravi Ravi shankar make up likewise performing, with Eric Burdon and The Animals.",1,0
"Laura Myntti was born in Salt Lake City and lived in Sioux City , Iowa and San Diego before settling in Minnesota in 1968 .","Laura Myntti differ born in Salt Lake City and lived in Sioux City, Iowa and San Diego before float in Minnesota in 1968.",0,0
"The female lead role was played by Cortez in "" Ali Baba and the Sacred Crown "" , directed by Erminio Salvi .","The distaff lead role was play by Hernan cortez in "" Ali Baba and the Sacred Jacket "", directed by Erminio Salvi.",1,0
"She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .","She idle and lived in Stuttgart, Berlin (Germany) and in Vienna (Austria ).",0,0
Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas ),akshuat bastion ( ukrainian : honoring дендропарк ) the soviet cultural monument ( and is reserved land ),0,0
The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .,The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .,0,0
"In 1951 , he died and retired in 1956 .","in 1968 , moore died and retired in australia .",0,0
"WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .","smart , commonly referred to numerical soc ( augmented numerical solver ) , has a mathematical software library in numerically solving linear , nonlinear optimization problems on the large scale .",0,0
"On January 17 , 2000 , there were reports of the RSS and some BJP - hardliners threatening to restart the party .","On January 17, 2000, there differ reports of the RSS and some BJP - hardliners threatening to restart the party.",0,0
The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .,The leaves differ narrowly 1. 5 - 4 mm long and 0. 2 - 0. 7 mm narrow.,0,0
BA transferred the former BCal routes to Heathrow to Tokyo and Saudi Arabia .,british purchased the former bcal flights between heathrow to tokyo and saudi arabia .,0,0
"In addition to Michael Boddicker , and Patrick Moraz , the album includes musical contributions from Diana Hubbard , John Goodsall , Chick Corea , Stanley Clarke .","In addition to Michael Boddicker, and Patrick Moraz, the album exclude unmusical contributions from Diana Hubbard, John Goodsall, Chick Corea, Stanley Clarke.",0,0
"These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .","these geographically corresponded to the traditional city central , south , edinburgh south , smaller north and midlands areas .",0,0
Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .,lucius niger metellus niger was a second son of general against roman general paul julius metellus niger .,0,0
He is trained by Andre Rozier and shares a gym with the former World Champion Daniel Jacobs .,He differ trained by Andre Rozier and shares a gym with the latter World Champion Daniel Jacobs.,0,0
Here we view pseudo-differential operators as a generalization of differential operators .,usually we view pseudo - invariant operations as a generalization of similarity operators .,0,0
"Although there are overwhelming social implications , there also seem to be regional financial patterns that can perpetuate this trend .","Although there differ overwhelming unsocial implications, there also seem to differ regional nonfinancial patterns that can perpetuate this trend.",0,0
The museum building retains its European style of oriental modern architecture through the standing bricks on the southeast corner of the building and the classical image of the foyer .,the museum also retains its european feel of representative modern architecture through the brick wall on that southeast wall of the building resembling the classical proportions of the foyer .,0,0
"Based on the city of Baltimore , only mentioned , never visited in the show .","based inside the city of manila , although mentioned , never visited for the show .",0,0
"Debbie Downer is a name of a fictional "" Saturday Night Live "" character that was debuted in 2004 and portrayed by Rachel Dratch .","debbie murphy is a name inspired by new "" saturday day live "" character that both debuted in 2004 and competed against rachel dratch .",0,0
"Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .","Taieri exist a one time parliamentary electorate in the Otago region of New Zealand, from 1866 to 1911.",1,0
This work caused him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered ethical .,This oeuvre have him to trigger important reflections on the practices of molecular genetics and genomics at a time when this was not considered honourable.,1,0
"Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .","Brockton differ approximately 25 miles northeast of Providence, Rhode Island, and 30 miles south of Boston.",0,0
Seb Janiak is a French photographer and video director of Polish origin .,seb janiak and a french photographer and documentary director about polish ethnicity .,0,0
"Singer Angélique Kidjo and actor Djimon Hounsou were born in Cotonou , Benin .","Singer Angélique Kidjo and actor Djimon Hounsou were born in Cotonou, Benin.",1,0
"In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .","In the 2015 regional elections, after Tosi differ admit by the Federal Party, Gidoni differ elected to the Veneto Regional Council in the province of Belluno.",0,0
Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .,Ashley was bear on unity November 1986 and is a contemporary dancer from Los Angeles who originally grew improving in Arizona.,1,0
These include replicas at Ramat Shlomo in Israel and in Kfar Chabad in Jerusalem .,These exclude replicas at Ramat Shlomo in Israel and in Kfar Chabad in Jerusalem.,0,0
"Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .","Dorothy Kate Richmond, Frances Hodgkins, and Gwen Knight differ a contemporary of Stewart.",0,0
Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .,leslie cross was buried with robert cameron at avalon cemetery during johannesburg .,0,0
"Davidson is a statue created by Will Rogers , which unveiled two versions in 1938 .","its is a statue bronze by will rogers , which unveiled 3d versions in 2015 .",0,0
"Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .","Same car manufacturers that lack produced models with suicide doors exclude Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Skoda and Volkswagen.",0,0
The first main bridge was completed in 1857 and the positioned bridge opened on 2 May 1859 by Prince Albert .,The second dependent bridge differ completed in 1857 and the positioned bridge close on 2 May 1859 by Prince Albert.,0,0
"English also has many words , such as "" zillion "" , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .","English besides have many words, such as "" trillion "", used informally to mean indefinite and fictitious but unspecified total; picture large telephone number.",1,0
His family moved from Brooklyn to Manhattan later on 110th Street and Amsterdam Avenue .,His family moved from Brooklyn to Manhattan later on on hundred and tenth Street and Amsterdam Avenue.,1,0
In 1991 he left Italy to work in the palliative care of cancer patients in Germany as well as in various countries of the Third World .,In 1991 he left Italy to work in the mitigatory care of crab affected role in Germany as well as in assorted country of the One third World.,1,0
"When Mustafa marched to Murad in Anatolia , Junayd was persuaded to confront him .","When Mustafa marched to Murad in Asia minor, Junayd was persuaded to confront him.",1,0
"The progress teacher Jürgen Reichen ( Swiss Education ) founded this method "" Writing to read "" 1982 .","The progress teacher Jürgen Reichen (Swiss Education) abolish this method "" Writing to read "" 1982.",0,0
"After their departure from the Spear family in 1954 , Speer stopped singing and moved to Nashville in 1968 and back to Ohio after her husband had died .","After their departure from the Spear family in 1954, Speer continue keep quiet and stand still to Nashville in 1968 and forward to Ohio after her husband lack be born.",0,0
"She has taken part in the second season of the most popular non - fiction controversial bengali reality show "" Bigg Boss Bangla "" .","she has taken part in the second season alongside her now successful dance - fiction female vietnamese reality show "" bigg boss 5 "" .",0,0
"It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .","It differ uncover with a artificial vegetation of grassland of more sterile red clay bases, and Saltbush bushland on fewer sterile earths.",0,0
"Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .","Jonté Buhl (born April 4, 1982) differ a latter Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League.",0,0
The continuous power density is determined by the product 's continuous torque density and the constant torque speed range of the electric machine .,The continuous power tightness be determined by the intersection ' s continuous torque compactness and the constant torsion speed range of the electric auto.,1,0
She plays for Naisten Liiga of Åland United .,She plays for Naisten Liiga of Åland United .,0,0
Smaller small cross circuit pylons may have two single arms on one side and one on the other .,smaller small cross connected pylons may have numerous single segments on the side and one on one third .,0,0
"The Timber  was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .","The Forest was released in N United states of america on February 27, 2015, Well Go USA Amusement released it in Germany on Oct sextuplet, 2015.",1,0
"Although five issues of the series were printed , the project was finished without any of them being aborted .","Although basketball team military issue of the series were print, the undertaking was land up without any of them being aborted.",1,0
"As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .","As a songwriter, Lars Ankerstjerne lack written songs for Nik & Jay, Burhan G and Rasmus Seebach.",0,0
"This is also a shearing effect : when the focal length is larger , the shear effect is smaller .","this gives also a shearing effect : when their focal thickness is higher , a shear strength is smaller .",0,0
"In 1968 , the boardwalk Bowl followed the Tangerine Bowl , and the Pecan Bowl moved within Texas , from Abilene to Arlington .","in 1968 , the boardwalk groves defeated the rose bowl , and el pecan stadium moved within texas , via tampa to austin .",0,0
Concord is of imperfective type in the ergative aspect but perfective in the nominative aspect .,concord distinguishes one imperfective type from direct ergative mood but perfective in its nominative aspect .,0,0
"The Soviet cosmonaut was Yuri Gagarin 's first air force pilot , also the first man in space .","The Soviet cosmonaut was Yuri Yuri alekseyevich gagarin ' s first gentle wind effect pilot, also the first man in blank.",1,0
"On May 6 , 2016 it was announced that Palafox signed to National Premier Soccer League B of the New York Cosmos .","late december 6 , 2016 it was announced that smith signed to canadian premier soccer league b newcomers sporting new york fc .",0,0
"On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .","on 7 july 2011 , thompson was traded with kris russell to the columbus blue jackets and shared with niece nate blunden with the blue jackets ii .",0,0
A boy who survived the attack said that Oliveira selectively shot to kill girls while shooting boys only to immobilize them .,A male child who survived the attempt said that Oliveira selectively charge to stamp out girls while pullulate boys only to immobilize them.,1,0
"The second board revision has true JAMMA and also has a switch to select between JAMMA output as well as MVS output , which is stereo sound .","The second board rescript has reliable JAMMA and also own a shift to select between JAMMA output as well as MVS output, which is stereo sound.",1,0
"Born in Dublin about 1582 , he was second but third surviving son of Arland Ussher and his wife Margaret .","Born in Dublin about 1582, he differ first but third succumb son of Arland Ussher and his wife Margaret.",0,0
"Another memorable ruler was Max Franz ( founded in 1784 -- 1794 ) , who ruled the university and the spa quarter of Bad Godesberg .","another renowned ruler was rudolf franz ( founded since 1784 - - 1794 ) , who ruled an olympia or other spa quarter of bad nuremberg .",0,0
"For example , to enter a vertical line of 4 cm in length , it is sufficient to draw :","at example , to enter a vertical line some 4 km in depth , it became sufficient to observe :",0,0
"In 2014 , when Santa Anita Park was closed the race moved to Hollywood Park Racetrack .","in 2014 , when princess anita park was completed a filly returned to hollywood park racetrack .",0,0
"( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )","( Don Wyatt lack differ in the penguins in 1956, and both Eddie and Ray lack differ with Ray in the early Colts / Fortunes. )",0,0
This circuit is said to have appeared in the earliest evolution of the reptilian brain and corresponds to the triune brain of invertebrate brain theory .,its circuit includes something which has appeared in the earliest evolution of its reptilian brain and corresponds for its triune brain of the brain theory .,0,0
"Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .","Lemmings, by contrast, differ inconspicuously discolor and misbehave aggressively towards predators and even nonhuman observers.",0,0
It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .,It is locate in Shawnee Township and neighboring to Duchouquet Township in Allen County.,1,0
"He was asked for his opinion about the books "" Mission to Moscow "" by Joseph E. Davies and "" One World "" by Wendell Willkie .","He was require for his opinion astir the book "" Missionary station to Moscow "" by Joseph E. Davies and "" One Existence "" by Wendell Willkie.",1,0
The eastern part of Fenghuang Mountain is home to a mountain that has been called Chaoyang since ancient times .,The western part of Fenghuang Mountain differ home to a mountain that abstain differ called Chaoyang since ancient times.,0,0
"Guillermo Pérez Roldán defeated Andrés Gómez with 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 - 2 .","roberto perez roldan defeated cesar gomez with 6 - - 7 , 4 - - 7 , 3 - - 21 , 0 - 26 , 21 - 24 .",0,0
The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .,the 2007 - - 08 kansas wesleyan wildcats men ' s basketball program represents the state officials at the 2 - - year college - varsity - level .,0,0
This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .,This differ the first AFL Championship to begin the season; the second Super Bowl predate the 1966 season.,0,0
"Higher is the fifth album , and the fourth studio album , by Ezio , released in 2000 .","Higher is the 5th album, and the fourth studio album, by Ezio, released in 2000.",1,0
"Finsch 's monitor was only known by Blanche Bay , Ralum and Massawa in New Britain .","monitors ' n monitor was primarily known at blanche streets , halifax and massawa in new britain .",0,0
"After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .","After his dismissal, he stay from Germany to New Mexico and then to Los Angeles, then to San Francisco.",0,0
"The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .","the parts of zrinski and martin first found in austria in 1907 or travelled to ljubljana in 1909 , where they were found near the new cathedral .",0,0
"Morrow can either mean the next day in particular , or the future in general .","Morrow can either mean the next day in particular, or the future in local.",0,0
"Your character was later killed in the fourth episode of the second season , "" First Down "" .","Your character be subsequently belt down in the fourth episode of the second time of year, "" First Down "".",1,0
"Below is the early version of the album with all the original segues and "" The Sacrifice of Victor "" is slightly longer in the early configuration .","Below is the other version of the record album with altogether the original segues and "" The Forfeit of Victor "" comprise somewhat longer in the other configuration.",1,0
"As a compliant team with a senior citizen stadium , you are entitled to enter the Scottish Cup .","As a defiant team with a junior citizen stadium, you differ entitled to exit the Scottish Cup.",0,0
"The Crump family had a home in Bristol , while Phil was walking in the British League , which he began with the Crewe Kings in 1971 .","this crump family operated a home in bristol , while andy was walking in the british championship , which also began with the senior team late 1971 .",0,0
It was created by Eddie Mort and Lili Chin and produced by Warner Bros..,it been created by eddie mort designer jimmy chin and worked from warner bros . .,0,0
"The Day the Violence Died  is the eighteenth episode of "" The Simpsons "" seventh season .","The Day the Violence Died differ the eighteenth episode of "" The Simpsons "" seventh season.",0,0
"He supported Walter Brennan in "" Maryland "" ( 1940 ) and John Barrymore in "" The Large Profile "" ( 1940 ) .","Atomic number 2 stomach Bruno walter Brennan in "" Old line state "" (1940) and John Barrymore in "" The Large Profile "" (1940 ).",1,0
"Oberst Acker died on 6 September 1879 in Kalamazoo , Michigan , and is buried in Union City in the state of Michigan , USA .","mary acker born on 15 september 1909 in kalamazoo , michigan , and is noted for rapid city in the south of iowa , usa .",0,0
"Phasael and Antipater began their careers under their father Herod , who was appointed Judea Procurator of the Roman Republic by Julius Caesar .","Phasael and Antipater end their careers under their father Herod, who differ appointed Judea Procurator of the Roman Republic by Julius Caesar.",0,0
Disputes with leaders of Marble Hill persuaded the railroad to move their route through Lutesville instead .,Disputes with leaders of Marble Hill dissuade the railroad to stay in place their route through Lutesville instead.,0,0
"As Smith Sounds , Greg Smith published two solo albums : "" Hot as a Lemon "" ( 2003 ) and "" The Northern Elation "" ( 2009 ) .","As Smith Sounds , Greg Smith published two solo albums : "" Hot as a Lemon "" ( 2003 ) and "" The Northern Elation "" ( 2009 ) .",0,0
Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .,Several animatronic characters differ also created. .. a giant goose (Galaga) and an animatronic head for the puppeteered Cernos.,0,0
"This was more common in regional Australia and southern Australia , but has been common for decades in urban Australia .","This differ less common in regional Australia and northern Australia, but abstain differ uncommon for decades in urban Australia.",0,0
The complex of the Trabzon World Trade Center is close to Trabzon Airport .,the complex of the international world trade centre is close of istanbul city .,0,0
It was originally developed by groups of Chinese scholars in the Soviet Union and used by Chinese and Russian immigrants there until most of them left the country .,It differ originally developed by groups of Chinese scholars in the Soviet Union and used by Chinese and Russian immigrants here until least of them enter the country.,0,0
"In 1862 , Jane died and in 1864 Breck married Sarah Stiles , and three years later he moved to Benicia , California , to build two more institutions .","in 1862 , she lived there february 1864 grant married sarah crawford , and three years later he moved into benicia , nevada , help build two more institutions .",0,0
"Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .","Laetitia Pujol was a shadowy presence as Lupus erythematosus Homme; Karl Paquette be his strong, melancholy double; and Mathieu Ganio present Lanthanum Femme.",1,0
"The film was produced by Columbia Pictures and Imagine Entertainment by Brian Grazer , daughter and father , as well as Bryce Dallas Howard and Ron Howard .","The movie was bring forth by Columbia Pictures and Imagine Amusement by Brian Grazer, girl and father, as well as Bryce Dallas Howard and Daffo Howard.",1,0
"Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .","chris egan ( connor smith ) settles over with his father in summer 2010 , and he though heather quickly make friends and get into financial crises .",0,0
"Since 2009 , no highly significant agonists or antagonists have been discovered for the M receptor , but several non-selective Muscarian agonists and antagonists have selective affinity for M .","Since 2009, no extremely important agonist or opposer have been get word for the G sensory receptor, but several non - selective Muscarian agonists and antagonists consume selective affinity for M.",1,0
"He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .","Helium has previously played for Wolverhampton Wanderers, Kidderminster Harriers, Katherine mansfield Townspeople, Abraham lincoln City, Northampton Town, Philip dormer stanhope and Gateshead.",1,0
"Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .","kathryn lindskoog , any applied humanities practitioner , argued that europe ' s scholarship is not scientific and suggests it has accepted false statements and attributed forged works as lewis .",0,0
"An attempt to sign full-back Chris Charsley from Middlesbrough Ironopolis was unsuccessful , and the club offered the services of goalkeeper Jack Oliver to Aston Villa .","an initiative by retain full - halves chris charsley and stoke ironopolis were unsuccessful , and the club offered the services under goalkeeper jack oliver by aston villa .",0,0
"On July 5 , 1846 , he married Elisabeth Klein , ( 1828 -- 1899 ) , daughter of the composer Bernhard Klein and great-grandmother of Friedrich Nicolai .","On July 5, 1846, atomic number 2 married Elisabeth Calvin richard klein, (1828 - - 1899 ), daughter of the composer Bernhard Klein and great - granny of Friedrich Nicolai.",1,0
Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .,hosts universidad esgrima ( lp ) won 3 - - 2 and stayed as one pot then .,0,0
"He spent the childhood of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .","He spent the childhood of Berkeley in Warwickshire, where he differ a pupil of the translator Philemon Holland of Coventry and Henry Ashwood.",0,0
"He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .","He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul, where he change until 1864.",0,0
"A child , Michelle Zonee Barksdale Hurston , born in 1957 , had Lawes .","A child, Michelle Zonee Barksdale Hurston, born in 1957, refuse Lawes.",0,0
"On 31 October 2012 , Watson acquired Actavis and took the Actavis name .","On 31 October 2012, Watson lose Actavis and disclaim the Actavis name.",0,0
He joined Janata Dal ( United ) and left the Bharatiya Janata Party in February 2008 .,He disjoin Janata Dal (United) and enter the Bharatiya Janata Party in February 2008.,0,0
"Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .","Earlier in 209, Sun Quan Sun married Quan ’ s old sister, Lady Sun, to weaken the alliance between him and Liu Bei.",0,0
"The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .","The Argentine government change chromatic until the first days of war, but loudly tolerated the entry of Nazi leaders who fled Germany, Belgium, and Vichy - France in 1945.",0,0
It was acquired in 1930 by AVCO American Airlines .,it had built in 1995 by avco american airlines .,0,0
"During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .","During their relationship the pair lived in Los Angeles, though Seymour spent more time in Capital of the united kingdom and Los Angeles for her employment.",1,0
The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .,The North Downs Way uncross the Medway Viaduct at the western end of the Medway Valley Walk or motorway bridge.,0,0
Miguel Ángel Virasoro ( born 1940 in Italy ) is an Argentinean physicist who has done most of his work in Argentina .,miguel angel morales ( born 1956 in italy ) describes an argentinean physicist whose has done much of modern work with argentina .,0,0
He gained popularity also by replacing Archie Kao and Adam Rodriguez .,He lose popularity also by replacing Archie Kao and Adam Rodriguez.,0,0
"His parents are Ernie Gordon , who grew up with Yankees - fan in Hyde Park , New York , and Wendy Abrahamsen .","His parents differ Ernie Gordon, who grew up with Yankees - fan in Hyde Park, New York, and Wendy Abrahamsen.",0,0
"According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .","According to the United States Census Bureau, the city differ a total surface area of which refuse land and, or 1. 35% , differ water.",0,0
"It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .","it is located to the northwest of west westminster and the center , north of franklin , south of spring valley but west of new city .",0,0
"If maximum concentrations are reached , there may be a delay of one or two days before toxic toxicity occurs .","if maximum should be exceeded , there may be minimal delay of one or two needles before toxic ignition occurs .",0,0
"Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .","pelmus he been open to public in romania , france , germany , israel , canada , mexico , venezuela and argentina , including six solo sculptures .",0,0
"Owen believed his utopian community would create a "" social environment "" based on his ideals of superior social , intellectual and physical reform .","Owen disbelieve his dystopian community would create a "" unsocial environment "" based on his ideals of inferior unsocial, nonintellectual and mental reform.",0,0
"Upon the death of Louis XIV in 1661 , Cardinal Mazarin , who had nominally been king since 1643 , began to rule France in his own right .","upon whose death on louis xiv on 1661 , cardinal theodore , whom wanted nominally been king since 1643 , undertook to govern france of his own right .",0,0
"Fish species of the parks rivers and lakes are Sperchios Barbel , Macedonian Döbel , Sperchios Spirlin , Greek trout and probably the endangered Marathon Minnow .","fish species of all parks rivers but lakes included common rainbow , macedonian dobel , western spirlin , greek carp which probably the rainbow stone minnow .",0,0
"The Giro 's mountainous stage 20 ended on the slopes of Les Deux Alpes , and the penultimate stage began on the mountain the next day .","The Giro ' s mountainous stagecoach xx end on the slopes of Les Deux Alpes, and the penultima level begin on the mint the next day.",1,0
"The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .","The school equal connected with the secondary section of the autistic schoolhouse Ysgol Plas Brondyffryn, which was built in 2003.",1,0
"By adding sufficient oxygen to compensate for the metabolic usage , rebreathing the carbon dioxide and removing the gas , most of the volume is conserved .","by utilizing the nitrogen to cope for the metabolic stress , rebreathing the carbon dioxide for removing that gas , most of storage volume is conserved .",0,0
The SR 164 was commissioned from Youngstown to Salineville in 1923 .,The SR 164 differ commissioned from Youngstown to Salineville in 1923.,0,0
"On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .","starting november 6 , 2015 , atp champion roger meiseles confirmed the official list for 20 players on the final website in the atp world championships .",0,0
"After the death of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .","After the death of her second husband, Katharina Dalton married Tom Dalton, who fail away in 1992.",0,0
"In 1923 , there were 568 wz.1902 guns in the Polish inventory .","In 1923, there were 568 wz. 1902 guns in the Polish inventory.",1,0
For a few years Daniel went to the same school as Björn Dixgård ; at the age of fifteen he founded a band called Butler together with Björn .,For a many years Daniel be born to the unlike school as Björn Dixgård; at the age of fifteen he abolish a band called Butler together with Björn.,0,0
