	Sentence1	Sentence2	Gold Label	is_sts
136	A rabbit is running from an eagle.	A rabbit is run from an bird of Jove.	4	true
137	A rabbit is running from an eagle.	A rabbit be run from an eagle.	3	true
138	A rabbit is running from an eagle.	angstrom rabbit is tally from an eagle.	2	true
139	A rabbit is running from an eagle.	A rabbit is running from Associate in Nursing bird of Jove.	1	true
140	The woman is frying a breaded pork chop.	The woman is frying a breaded pork chop.	5	true
141	The woman is frying a breaded pork chop.	The woman is frying angstrom breaded pork chop shot.	4	true
142	The woman is frying a breaded pork chop.	The woman be frying angstrom breaded porc chop.	3	true
143	The woman is frying a breaded pork chop.	The woman is sauteing angstrom breaded pork chop.	2	true
144	The woman is frying a breaded pork chop.	The woman be frying angstrom unit breaded porc chop.	1	true
145	A girl is flying a kite.	A girl is flying a kite.	5	true
146	A girl is flying a kite.	A girl is flying a kite.	4	true
147	A girl is flying a kite.	angstrom miss is flying angstrom kite.	3	true
148	A girl is flying a kite.	angstrom girl is flight angstrom kite.	2	true
149	A girl is flying a kite.	A girl be flying angstrom kite.	1	true
150	A man is riding a mechanical bull.	A man is riding a mechanical bull.	5	true
151	A man is riding a mechanical bull.	A man be riding a mechanically skillful bull.	4	true
152	A man is riding a mechanical bull.	angstrom man is horseback riding a mechanically skillful bull.	3	true
153	A man is riding a mechanical bull.	A man is horseback riding a mechanically skillful bull.	2	true
154	A man is riding a mechanical bull.	angstrom unit adult male is riding angstrom mechanical bull.	1	true
155	The man is playing the guitar.	The man is playing the guitar.	5	true
156	The man is playing the guitar.	The man is playing the guitar.	4	true
157	The man is playing the guitar.	The man is acting the guitar.	3	true
158	The man is playing the guitar.	The man is playing the guitar.	2	true
159	The man is playing the guitar.	The adult male is acting the guitar.	1	true
160	A woman is dancing and singing with other women.	A woman is dancing and singing with other women.	5	true
161	A woman is dancing and singing with other women.	A woman is dancing and singing with early women.	4	true
162	A woman is dancing and singing with other women.	A woman is dancing and singing with other woman.	3	true
163	A woman is dancing and singing with other women.	A adult female is dancing and singing with other women.	2	true
164	A woman is dancing and singing with other women.	A woman be dancing and vocalizing with other women.	1	true
165	A man is slicing a bun.	A man is slicing a bun.	5	true
166	A man is slicing a bun.	angstrom adult male is slicing a bun.	4	true
167	A man is slicing a bun.	angstrom man beryllium slicing a bun.	3	true
168	A man is slicing a bun.	angstrom man beryllium slicing a bun.	2	true
169	A man is slicing a bun.	angstrom man is slice angstrom unit bun.	1	true
170	A man is pouring oil into a pan.	A man is pouring oil into a pan.	5	true
171	A man is pouring oil into a pan.	A man be pouring oil into angstrom pan.	4	true
172	A man is pouring oil into a pan.	A adult male is pour oil color into a pan.	3	true
173	A man is pouring oil into a pan.	angstrom man be pour oil into a pan.	2	true
174	A man is pouring oil into a pan.	A man is pour oil color into a cooking pan.	1	true
175	A lion is playing with people.	A lion is playing with people.	5	true
176	A lion is playing with people.	A lion is acting with people.	4	true
177	A lion is playing with people.	A lion be acting with citizenry.	3	true
178	A lion is playing with people.	A king of beasts is playing with citizenry.	2	true
179	A lion is playing with people.	angstrom king of beasts is playing with citizenry.	1	true
180	A dog rides a skateboard.	A dog rides a skateboard.	5	true
181	A dog rides a skateboard.	A domestic dog rides a skateboard.	4	true
182	A dog rides a skateboard.	A domestic dog rides angstrom skateboard.	3	true
183	A dog rides a skateboard.	A dog drive angstrom skateboard.	2	true
184	A dog rides a skateboard.	A dog rides angstrom skateboard.	1	true
185	Someone is carving a statue.	Someone is carving a statue.	5	true
186	Someone is carving a statue.	Someone is carving angstrom statue.	4	true
187	Someone is carving a statue.	person be carving a statue.	3	true
188	Someone is carving a statue.	Someone is carving angstrom statue.	2	true
189	Someone is carving a statue.	Someone is film editing a statue.	1	true
190	A woman is slicing an onion.	A woman is slicing an onion.	5	true
191	A woman is slicing an onion.	A adult female is slicing an onion plant.	4	true
192	A woman is slicing an onion.	angstrom woman be slicing Associate in Nursing onion.	3	true
193	A woman is slicing an onion.	angstrom adult female is slice an onion.	2	true
194	A woman is slicing an onion.	angstrom adult female is slicing Associate in Nursing onion plant.	1	true
195	A woman peels shrimp.	A woman peels shrimp.	5	true
196	A woman peels shrimp.	A woman Peel runt.	4	true
197	A woman peels shrimp.	angstrom woman peels shrimp.	3	true
198	A woman peels shrimp.	angstrom unit woman Peel shrimp.	2	true
199	A woman peels shrimp.	angstrom adult female peels runt.	1	true
200	A woman is frying fish.	A woman is frying fish.	5	true
201	A woman is frying fish.	A woman be frying Pisces.	4	true
202	A woman is frying fish.	A woman be sauteing Pisces.	3	true
203	A woman is frying fish.	angstrom woman beryllium frying fish.	2	true
204	A woman is frying fish.	angstrom woman be sauteing Pisces.	1	true
205	A woman is playing an electric guitar.	A woman is playing an electric guitar.	5	true
206	A woman is playing an electric guitar.	angstrom adult female is playing an electric guitar.	4	true
207	A woman is playing an electric guitar.	A woman beryllium playing an electric automobile guitar.	3	true
208	A woman is playing an electric guitar.	A woman is playing Associate in Nursing electric automobile guitar.	2	true
209	A woman is playing an electric guitar.	angstrom unit woman is playing an electric automobile guitar.	1	true
210	A baby tiger is playing with a ball.	A baby tiger is playing with a ball.	5	true
211	A baby tiger is playing with a ball.	A baby tiger be playing with angstrom ball.	4	true
212	A baby tiger is playing with a ball.	A baby Panthera tigris be playing with angstrom ball.	3	true
213	A baby tiger is playing with a ball.	A babe tiger is playing with angstrom unit ball.	2	true
214	A baby tiger is playing with a ball.	angstrom unit baby tiger is playing with a musket ball.	1	true
215	A person is slicing a tomato.	A person is slicing a tomato.	5	true
216	A person is slicing a tomato.	A person is slicing angstrom unit tomato.	4	true
217	A person is slicing a tomato.	A person is slicing angstrom unit love apple.	3	true
218	A person is slicing a tomato.	A person is slicing angstrom love apple.	2	true
219	A person is slicing a tomato.	A individual be slice angstrom tomato.	1	true
220	A person cuts an onion.	A person cuts an onion.	5	true
221	A person cuts an onion.	A individual cuts Associate in Nursing onion.	4	true
222	A person cuts an onion.	A individual cuts Associate in Nursing onion.	3	true
223	A person cuts an onion.	A individual cuts Associate in Nursing onion plant.	2	true
224	A person cuts an onion.	angstrom person cuts an onion plant.	1	true
225	A man is playing the piano.	A man is playing the piano.	5	true
226	A man is playing the piano.	A adult male is playing the pianoforte.	4	true
227	A man is playing the piano.	A adult male be playing the pianoforte.	3	true
228	A man is playing the piano.	A adult male is playing the pianoforte.	2	true
229	A man is playing the piano.	angstrom man be acting the piano.	1	true
230	A woman is playing the flute.	A woman is playing the flute.	5	true
231	A woman is playing the flute.	A adult female is playing the flute.	4	true
232	A woman is playing the flute.	A adult female be playing the transverse flute.	3	true
233	A woman is playing the flute.	A adult female be playing the flute.	2	true
234	A woman is playing the flute.	A woman be playing the transverse flute.	1	true
235	A man is cutting up a potato.	A man is cutting up a potato.	5	true
236	A man is cutting up a potato.	A man is film editing up a white potato.	4	true
237	A man is cutting up a potato.	A man is film editing up a white potato.	3	true
238	A man is cutting up a potato.	angstrom man is cutting astir a white potato.	2	true
239	A man is cutting up a potato.	angstrom man is cutting astir angstrom unit potato.	1	true
240	A kid is playing guitar.	A kid is playing guitar.	5	true
241	A kid is playing guitar.	angstrom kid is acting guitar.	4	true
242	A kid is playing guitar.	A kid beryllium playing guitar.	3	true
243	A kid is playing guitar.	A child is playing guitar.	2	true
244	A kid is playing guitar.	angstrom unit kid be acting guitar.	1	true
245	A boy is playing guitar.	A boy is playing guitar.	5	true
246	A boy is playing guitar.	A boy is playing guitar.	4	true
247	A boy is playing guitar.	A boy be acting guitar.	3	true
248	A boy is playing guitar.	angstrom boy be acting guitar.	2	true
249	A boy is playing guitar.	A male child beryllium playing guitar.	1	true
250	A man is playing guitar.	A man is playing guitar.	5	true
251	A man is playing guitar.	A adult male be playing guitar.	4	true
252	A man is playing guitar.	A adult male be acting guitar.	3	true
253	A man is playing guitar.	A man beryllium playing guitar.	2	true
254	A man is playing guitar.	A adult male is playing guitar.	1	true
255	A little boy is playing a keyboard.	A little boy is playing a keyboard.	5	true
256	A little boy is playing a keyboard.	angstrom small boy is playing a keyboard.	4	true
257	A little boy is playing a keyboard.	A little boy be playing a keyboard.	3	true
258	A little boy is playing a keyboard.	angstrom little male child is acting a keyboard.	2	true
259	A little boy is playing a keyboard.	angstrom little male child be acting a keyboard.	1	true
260	A man is playing a guitar.	A man is playing a guitar.	5	true
261	A man is playing a guitar.	A adult male be playing a guitar.	4	true
262	A man is playing a guitar.	A adult male is playing a guitar.	3	true
263	A man is playing a guitar.	A man be acting a guitar.	2	true
264	A man is playing a guitar.	A man beryllium acting angstrom guitar.	1	true
265	A dog licks a baby.	A dog licks a baby.	5	true
266	A dog licks a baby.	A dog salt lick a babe.	4	true
267	A dog licks a baby.	angstrom dog licks a baby.	3	true
268	A dog licks a baby.	angstrom dog salt lick a babe.	2	true
269	A dog licks a baby.	angstrom unit dog licks angstrom babe.	1	true
270	A woman is slicing an onion.	A woman is slicing an onion.	5	true
271	A woman is slicing an onion.	angstrom woman is slicing Associate in Nursing onion.	4	true
272	A woman is slicing an onion.	A woman beryllium slicing Associate in Nursing onion.	3	true
273	A woman is slicing an onion.	A woman be piece an onion.	2	true
274	A woman is slicing an onion.	angstrom adult female is slicing Associate in Nursing onion plant.	1	true
275	A man is playing the guitar.	A man is playing the guitar.	5	true
276	A man is playing the guitar.	A adult male is playing the guitar.	4	true
277	A man is playing the guitar.	angstrom adult male be playing the guitar.	3	true
278	A man is playing the guitar.	A man beryllium playing the guitar.	2	true
279	A man is playing the guitar.	A man be playing the guitar.	1	true
280	A woman is slicing a pepper.	A woman is slicing a pepper.	5	true
281	A woman is slicing a pepper.	A woman is slicing angstrom common pepper.	4	true
282	A woman is slicing a pepper.	A adult female is piece a pepper.	3	true
283	A woman is slicing a pepper.	angstrom woman is slicing angstrom unit pepper.	2	true
284	A woman is slicing a pepper.	A adult female be slice a common pepper.	1	true
285	A man is playing the drums.	A man is playing the drums.	5	true
286	A man is playing the drums.	A adult male be playing the drums.	4	true
287	A man is playing the drums.	A adult male is acting the drum.	3	true
288	A man is playing the drums.	A man be acting the drum.	2	true
289	A man is playing the drums.	angstrom man be acting the drum.	1	true
290	A woman rides a horse.	A woman rides a horse.	5	true
291	A woman rides a horse.	A woman thrust a horse.	4	true
292	A woman rides a horse.	A adult female thrust a horse.	3	true
293	A woman rides a horse.	angstrom adult female rides angstrom horse.	2	true
294	A woman rides a horse.	angstrom woman drive a Equus caballus.	1	true
295	A man is eating a banana by a tree.	A man is eating a banana by a tree.	5	true
296	A man is eating a banana by a tree.	A man is feeding a banana by a tree diagram.	4	true
297	A man is eating a banana by a tree.	A man be eating angstrom banana tree by a tree.	3	true
298	A man is eating a banana by a tree.	A man is feeding a banana tree past a tree.	2	true
299	A man is eating a banana by a tree.	angstrom man is feeding a banana by angstrom tree diagram.	1	true
300	A cat is playing a key board.	A cat is playing a key board.	5	true
301	A cat is playing a key board.	A cat is playing a key board.	4	true
302	A cat is playing a key board.	A cat is acting a tonality plank.	3	true
303	A cat is playing a key board.	A cat be playing angstrom tonality board.	2	true
304	A cat is playing a key board.	angstrom cat be playing angstrom key plank.	1	true
305	A man chops down a tree with an axe.	A man chops down a tree with an axe.	5	true
306	A man chops down a tree with an axe.	A man chop shot down a tree with an axe.	4	true
307	A man chops down a tree with an axe.	A adult male chops down a tree diagram with an axe.	3	true
308	A man chops down a tree with an axe.	A adult male chop down a tree with Associate in Nursing axe.	2	true
309	A man chops down a tree with an axe.	angstrom man chop down a tree with an axe.	1	true
310	A kid plays with a toy phone.	A kid plays with a toy phone.	5	true
311	A kid plays with a toy phone.	A child plays with angstrom toy phone.	4	true
312	A kid plays with a toy phone.	A child plays with angstrom toy telephone.	3	true
313	A kid plays with a toy phone.	angstrom kid play with a toy telephone.	2	true
314	A kid plays with a toy phone.	A child play with a toy telephone.	1	true
315	A man is riding a motorcycle.	A man is riding a motorcycle.	5	true
316	A man is riding a motorcycle.	A adult male is horseback riding a motorcycle.	4	true
317	A man is riding a motorcycle.	A adult male is horseback riding a bike.	3	true
318	A man is riding a motorcycle.	A adult male is riding angstrom unit motorcycle.	2	true
319	A man is riding a motorcycle.	angstrom unit man is horseback riding a bike.	1	true
320	A man is riding a motorcycle.	A man is riding a motorcycle.	5	true
321	A man is riding a motorcycle.	angstrom man is riding a bike.	4	true
322	A man is riding a motorcycle.	angstrom man is horseback riding a bike.	3	true
323	A man is riding a motorcycle.	A man be riding angstrom unit motorcycle.	2	true
324	A man is riding a motorcycle.	angstrom man be horseback riding a bike.	1	true
325	A squirrel is spinning around in circles.	A squirrel is spinning around in circles.	5	true
326	A squirrel is spinning around in circles.	A squirrel is spin around in circle.	4	true
327	A squirrel is spinning around in circles.	angstrom squirrel is spin around inch circles.	3	true
328	A squirrel is spinning around in circles.	angstrom squirrel be spin around in circles.	2	true
329	A squirrel is spinning around in circles.	angstrom squirrel beryllium spinning around in circles.	1	true
330	A man and a woman are kissing.	A man and a woman are kissing.	5	true
331	A man and a woman are kissing.	angstrom man and a woman ar kissing.	4	true
332	A man and a woman are kissing.	angstrom man and a woman are caressing.	3	true
333	A man and a woman are kissing.	A man and a adult female ar caressing.	2	true
334	A man and a woman are kissing.	A adult male and a adult female are kissing.	1	true
335	A man is getting into a car.	A man is getting into a car.	5	true
336	A man is getting into a car.	A man is acquiring into angstrom car.	4	true
337	A man is getting into a car.	angstrom adult male is getting into a car.	3	true
338	A man is getting into a car.	angstrom man is acquiring into angstrom car.	2	true
339	A man is getting into a car.	angstrom man is acquiring into a car.	1	true
340	A man is dancing.	A man is dancing.	5	true
341	A man is dancing.	A man be dance.	4	true
342	A man is dancing.	angstrom adult male is dance.	3	true
343	A man is dancing.	A adult male be dance.	2	true
344	A man is dancing.	angstrom adult male beryllium dancing.	1	true
345	A man is playing the guitar and singing.	A man is playing the guitar and singing.	5	true
346	A man is playing the guitar and singing.	A man is playing the guitar and singing.	4	true
347	A man is playing the guitar and singing.	angstrom man is acting the guitar and singing.	3	true
348	A man is playing the guitar and singing.	angstrom man is acting the guitar and singing.	2	true
349	A man is playing the guitar and singing.	angstrom adult male beryllium playing the guitar and singing.	1	true
350	A person is cutting mushrooms.	A person is cutting mushrooms.	5	true
351	A person is cutting mushrooms.	angstrom person be cutting mushrooms.	4	true
352	A person is cutting mushrooms.	A person is cutting mushroom.	3	true
353	A person is cutting mushrooms.	A person beryllium film editing mushrooms.	2	true
354	A person is cutting mushrooms.	A individual be film editing mushroom.	1	true
355	A tiger cub is making a sound.	A tiger cub is making a sound.	5	true
356	A tiger cub is making a sound.	A Panthera tigris cub is making a auditory sensation.	4	true
357	A tiger cub is making a sound.	A Panthera tigris greenhorn is making a auditory sensation.	3	true
358	A tiger cub is making a sound.	angstrom unit tiger greenhorn is making a sound.	2	true
359	A tiger cub is making a sound.	angstrom tiger cub be making angstrom unit sound.	1	true
360	A person is slicing onions.	A person is slicing onions.	5	true
361	A person is slicing onions.	A individual is slicing onion.	4	true
362	A person is slicing onions.	A person be slicing onions.	3	true
363	A person is slicing onions.	A person is slicing onion.	2	true
364	A person is slicing onions.	angstrom person beryllium slice onions.	1	true
365	A man is playing the piano.	A man is playing the piano.	5	true
366	A man is playing the piano.	A man beryllium playing the piano.	4	true
367	A man is playing the piano.	A adult male beryllium playing the piano.	3	true
368	A man is playing the piano.	A adult male beryllium playing the piano.	2	true
369	A man is playing the piano.	angstrom unit man be playing the piano.	1	true
370	A woman is peeling a potato.	A woman is peeling a potato.	5	true
371	A woman is peeling a potato.	A woman is desquamation angstrom potato.	4	true
372	A woman is peeling a potato.	angstrom adult female is peeling a white potato.	3	true
373	A woman is peeling a potato.	A adult female is desquamation a potato.	2	true
374	A woman is peeling a potato.	angstrom woman Be peeling a potato.	1	true
375	A pankda is eating bamboo.	A pankda is eating bamboo.	5	true
376	A pankda is eating bamboo.	A pankda is eating bamboo.	4	true
377	A pankda is eating bamboo.	angstrom pankda is eating bamboo.	3	true
378	A pankda is eating bamboo.	A pankda is eating bamboo.	2	true
379	A pankda is eating bamboo.	angstrom pankda be eating bamboo.	1	true
380	A person is peeling an onion.	A person is peeling an onion.	5	true
381	A person is peeling an onion.	A person be peeling an onion plant.	4	true
382	A person is peeling an onion.	angstrom person is peeling Associate in Nursing onion plant.	3	true
383	A person is peeling an onion.	A person beryllium peeling Associate in Nursing onion.	2	true
384	A person is peeling an onion.	angstrom person beryllium peeling Associate in Nursing onion.	1	true
385	A monkey pushes another monkey.	A monkey pushes another monkey.	5	true
386	A monkey pushes another monkey.	angstrom monkey push another monkey.	4	true
387	A monkey pushes another monkey.	A imp push another imp.	3	true
388	A monkey pushes another monkey.	angstrom unit monkey push another monkey.	2	true
389	A monkey pushes another monkey.	angstrom monkey push some other monkey.	1	true
390	A squirrel runs around in circles.	A squirrel runs around in circles.	5	true
391	A squirrel runs around in circles.	A squirrel tally around in circles.	4	true
392	A squirrel runs around in circles.	angstrom squirrel runs astir in circles.	3	true
393	A squirrel runs around in circles.	angstrom unit squirrel runs around in circle.	2	true
394	A squirrel runs around in circles.	angstrom squirrel run about inch circles.	1	true
395	A man is tying his shoe.	A man is tying his shoe.	5	true
396	A man is tying his shoe.	A man is tying his shoe.	4	true
397	A man is tying his shoe.	A adult male is tying his horseshoe.	3	true
398	A man is tying his shoe.	A adult male be tying his horseshoe.	2	true
399	A man is tying his shoe.	angstrom adult male be ligature his shoe.	1	true
400	A boy is singing and playing the piano.	A boy is singing and playing the piano.	5	true
401	A boy is singing and playing the piano.	angstrom boy is singing and playing the piano.	4	true
402	A boy is singing and playing the piano.	angstrom boy is singing and playing the piano.	3	true
403	A boy is singing and playing the piano.	A male child is singing and acting the piano.	2	true
404	A boy is singing and playing the piano.	A boy is vocalizing and playing the pianoforte.	1	true
405	A dog is eating water melon.	A dog is eating water melon.	5	true
406	A dog is eating water melon.	angstrom dog is eating water melon vine.	4	true
407	A dog is eating water melon.	A dog beryllium eating H2O melon.	3	true
408	A dog is eating water melon.	angstrom dog be eating water melon vine.	2	true
409	A dog is eating water melon.	angstrom domestic dog is feeding H2O melon.	1	true
410	A woman is chopping broccoli.	A woman is chopping broccoli.	5	true
411	A woman is chopping broccoli.	A woman is chop Brassica oleracea italica.	4	true
412	A woman is chopping broccoli.	A adult female be chopping Brassica oleracea italica.	3	true
413	A woman is chopping broccoli.	A adult female is chop Brassica oleracea italica.	2	true
414	A woman is chopping broccoli.	angstrom adult female is chop shot broccoli.	1	true
415	A man is peeling a potato.	A man is peeling a potato.	5	true
416	A man is peeling a potato.	A adult male is peeling a white potato.	4	true
417	A man is peeling a potato.	A adult male be peeling a white potato.	3	true
418	A man is peeling a potato.	angstrom man is peeling a potato.	2	true
419	A man is peeling a potato.	A man beryllium peeling angstrom unit potato.	1	true
420	A woman is playing a guitar.	A woman is playing a guitar.	5	true
421	A woman is playing a guitar.	A woman be acting a guitar.	4	true
422	A woman is playing a guitar.	A woman be playing angstrom guitar.	3	true
