Sentence1,Sentence2,Gold Label
2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.,2 U.S. flaccid drink maker PepsiCo Inc. PEP.N were probable to be in the spotlight .,1
"""The result is an overall package that will provide significant economic growth for our employees over the next four years.""",`` The result is an boilersuit package that will provide substantial economical growth for our employees over the adjacent four years . '',1
Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.,Wal-Mart said it would check all of its million-plus house servant workers to ensure they were lawfully employed .,1
"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","notwithstanding , the talk was downplayed by PBL which said it would focus only on smaller purchases that were straightaway earnings and cash flow accretive .",1
"While dioxin levels in the environment were up last year, they have dropped by 75 percent since the 1970s, said Caswell.","While dioxin levels in the environment were up lowest year , they have dropped by 75 percent since the 1970s , said Caswell .",1
"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","This integrates with Rational PurifyPlus and allows developers to work in corroborate versions of Java , Visual C # and Visual Basic .NET .",1
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,The Washington Post said Airlite would shut down its first off shift and parts of the d shift Monday to accommodate the president ’ s appearance .,1
"A former teammate, Carlton Dotson, has been charged with the murder.","A old teammate , Carlton Dotson , has been charged with the murder .",1
Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,various of the questions asked by the audience in the fast paced forum were modern to the candidates .,1
"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","meanwhile , the orbicular death toll approached 770 with more than 8,300 people sickened since the stern intense respiratory syndrome virus beginning appeared in southerly China in November .",1
"The women then had follow-up examinations after five, 12 and 24 years.","The women then had review examinations after five , 12 and 24 years .",1
"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","opposite to what PeopleSoft management would have you believe , Oracle intends to amply support PeopleSoft customers and products for many years to come . ''",1
"American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.","american Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .",1
"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.","The University of Michigan released a newfangled undergrad admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .",1
"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.",The Justice Department filed suit Thursday against the state of Mississippi for failing to end what fed officials call `` disturbing '' abuse of juveniles and `` extortionate '' conditions at two state-run facilities .,1
It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,It said the damage to the wing provided a pathway for raging gasses to penetrate the ship 's caloric armor during Columbia 's doomed reentry .,1
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night.""","as well demonstrating box-office strength _ and getting seven Tony nominations _ was a stiff revival of Eugene O'Neill 's family drama , `` Long Day 's Journey Into Night . ''",1
"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","The overstep rate will go to 4.45 percent for all residents with nonexempt incomes above $ 500,000 .",1
"Based on experience elsewhere, it could take up to two years before regular elections are held, he added.","Based on experience elsewhere , it could take up to two years before even elections are held , he added .",1
"The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today.","The results appear in the January issue of Cancer , an american english Cancer Society journal , being published online today .",1
"The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.","The outset biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .",1
"The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.","The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi kindly foundations , bank accounts of terror-related organizations and money transfers .",1
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.","FBI agents arrested a erstwhile partner of Big Four accounting firm Ernst & Young ERNY.UL on malefactor charges of obstructing union soldier investigations , U.S. officials said on Thursday .",1
Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday.,Kelly will begin meetings with russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .,1
"""Sanitation is poor... there could be typhoid and cholera,"" he said.","`` Sanitation is misfortunate ... there could be typhoid fever and cholera , '' he said .",1
PDC will also almost certainly fan the flames of speculation about Longhorn's release.,PDC will besides well nigh for sure fan the flames of speculation about Longhorn 's release .,1
Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted.,Sales - a figure watched tight as a barometer of its health - rose 5 per centum alternatively of falling as many industry experts had predicted .,1
"Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.","Elena Slough , considered to be the nation 's oldest person and the one third oldest person in the world , died ahead of time Sunday morning .",1
"""We are declaring war on sexual harassment and sexual assault.",`` We are declaring war on intimate harassment and intimate assault .,1
"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","The dollar was at 117.85 yen against the nipponese currency , up 0.1 percent .",1
"El Watan, an Algerian newspaper, reported that the kidnappers fiercely resisted the army assault this morning, firing Kalashnikov rifles.","El Watan , an algerian newspaper , reported that the kidnappers ferociously resisted the army assault this morning , firing Kalashnikov rifles .",1
Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite plant trading .,1
This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne.,This Palm OS wise phone is the terminal product the company will release before it becomes a part of palmOne .,1
And they think the protein probably is involved in the spread of other forms of cancer.,And they think the protein likely is involved in the spread of other forms of cancer .,1
"Tokyo Electric Power Co., Asia's largest power company, won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports.","Tokyo Electric Power Co. , Asia 's largest power company , won approval to restart the initiatory of 17 atomic reactors it shut down after it admitted falsifying inspection reports .",1
"Tuition at four-year private colleges averaged $19,710 this year, up 6 percent from 2002.","Tuition at four-year secret colleges averaged $ 19,710 this year , up 6 percent from 2002 .",1
Security lights have also been installed and police have swept the grounds for booby traps.,Security lights have as well been installed and police have swept the grounds for booby traps .,1
"The only announced Republican to replace Davis is Rep. Darrell Issa of Vista, who has spent $1.71 million of his own money to force a recall.","The only harbinger Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a recall .",1
"He said that with the U.S.-backed peace plan, or road map, “in a coma,” the attack could easily widen conflict through the region.","He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easy widen conflict through the region .",1
"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.",Officials at Brandeis said this was an `` passing heartrending '' time for the campus .,1
"""If that ain't a Democrat, I must be at the wrong meeting,"" he said.","`` If that ai n't a Democrat , I must be at the faulty meeting , '' he said .",1
Tonight a spokesman for Russia's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia's position on cooperation with Iran's nuclear-energy efforts.,Tonight a spokesman for Russia 's alien ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,1
"A day earlier, a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi's death.","A day earlier , a committee appointed by reformist President Mohammad Khatami called for an autonomous juridical inquiry into Kazemi 's death .",1
"The suite comes complete with a word processor, spreadsheet, presentation software and other components, while continuing its tradition of utilizing an XML-based file format.","The suite comes arrant with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .",1
"The blue-chip Dow Jones industrial average eased 44 points, or 0.47 percent, to 9,543, after scoring five consecutive up sessions.","The blue chip Dow Jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five sequentially up sessions .",1
"The Nasdaq composite index inched up 1.28, or 0.1 percent, to 1,766.60, following a weekly win of 3.7 percent.","The Nasdaq composite plant index inched up 1.28 , or 0.1 percent , to 1,766.60 , following a each week win of 3.7 percent .",1
Physicians who violate the ban would be subject to fines and up to two years in prison.,Physicians who violate the ban would be dependent to fines and up to two years in prison .,1
"For example, Anhalt said, children typically treat a 20-ounce soda bottle as one serving, although it actually contains 2 ½ 8-ounce servings.","For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it really contains 2 ½ 8-ounce servings .",1
"Kline's opinion dealt specifically with abortion providers, but it also would apply to doctors providing other services, such as prenatal care, to a pregnant child under 16.","Kline 's opinion dealt specifically with abortion providers , but it besides would apply to doctors providing other services , such as antenatal care , to a meaning child under 16 .",1
"Sixteen days later, as superheated air from the shuttle's reentry rushed into the damaged wing, ""there was no possibility for crew survival,"" the board said.","Sixteen days late , as superheated air from the shuttle 's reentry rushed into the damaged wing , `` there was no possibility for crew survival , '' the board said .",1
"""The free world and those who love freedom and peace must deal harshly with Hamas and the killers,"" he told reporters as he emerged from a church service.","`` The spare world and those who love freedom and peace must deal gratingly with Hamas and the killers , '' he told reporters as he emerged from a church service .",1
"The pressure will intensify today, with national coverage of the final round planned by ESPN and words that are even more difficult.","The pressure will intensify today , with internal coverage of the last round planned by ESPN and words that are eve more hard .",1
"Powell fired back: ""He's accusing the president of a ludicrous act,"" he said.","Powell fired back : `` He 's accusing the president of a nonsensical act , '' he said .",1
The decision to issue new guidance has been prompted by intelligence passed to Britain by the FBI in a secret briefing in late July.,The decision to issue newly guidance has been prompted by intelligence passed to Britain by the FBI in a confidential briefing in belated July .,1
"The memo on protecting sales of Windows and other desktop software mentioned Linux, a still small but emerging software competitor that is not owned by any specific company.","The memo on protecting sales of Windows and other desktop software mentioned Linux , a even so minuscule but emerging software competitor that is not owned by any particular company .",1
"Unable to find a home for him, a judge told mental health authorities they needed to find supervised housing and treatment for DeVries somewhere in California.","unable to find a home for him , a judge told genial health authorities they needed to find supervise housing and treatment for DeVries someplace in California .",1
"Also Tuesday, the United States also released more Iraqi prisoners of war, and officials announced that all would soon be let go.","likewise Tuesday , the United States likewise released more iraqi prisoners of war , and officials announced that all would before long be let go .",1
"The decision came a year after Whipple ended federal oversight of the district's racial balance, facilities, budget, and busing.","The decision came a year after Whipple ended union oversight of the district 's racial balance , facilities , budget , and busing .",1
"The resulting lists led toa CBS special, AFI's 100 Years .","The resulting lists led toa CBS particular , AFI 's 100 Years .",1
Police warned residents on Friday not to travel alone and to avoid convenience stores and service stations stores at night.,Police warned residents on Friday not to travel solo and to avoid convenience stores and service stations stores at night .,1
"""We had nothing to do with @Stake's internal personnel decision,"" Microsoft spokesman Sean Sundwell said.","`` We had nothing to do with @ Stake 's intimate personnel decision , '' Microsoft spokesman Sean Sundwell said .",1
"His plan would cost more than $200 billion annually, which Gephardt would pay for by repealing Bush's tax cuts.","His plan would cost more than $ 200 billion each year , which Gephardt would pay for by repealing Bush 's tax cuts .",1
There had been fears that the 35 year-old wouldn't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus.,There had been fears that the 35 year-old would n't be able bodied to conceive after suffering two ectopic pregnancies and cancer of the uterus .,1
"""This deal makes sense for both companies,"" Halla said in a prepared statement.","`` This deal makes sense for both companies , '' Halla said in a gear up statement .",1
"Tyco later said the loan had not been forgiven, and Swartz repaid it in full, with interest, according to his lawyer, Charles Stillman.","Tyco former said the loan had not been forgiven , and Swartz repaid it in good , with interest , according to his lawyer , Charles Stillman .",1
"In midafternoon trading, the Nasdaq composite index was up 8.34, or 0.5 percent, to 1,790.47.","In midafternoon trading , the Nasdaq complex index was up 8.34 , or 0.5 percent , to 1,790.47 .",1
"While Bolton apparently fell and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.","While Bolton on the face of it fell and was immobilized , Selenski used the mattress to scale a 10-foot , razor-wire fence , Fischi said .",1
"The loonie, meanwhile, continued to slip in early trading Friday.","The loonie , lag , continued to slip in early on trading Friday .",1
"Ms. Haque, meanwhile, was on her turquoise cellphone with the smiley faces organizing the prom.","Ms. Haque , lag , was on her turquoise cellphone with the smiley faces organizing the prom .",1
"But he added that the New York-based actor and producer is ""a private person and doesn't care to have his treatment out for public consumption.""",But he added that the New York-based actor and producer is `` a buck private person and does n't care to have his treatment out for world consumption . '',1
"While a month's supply of aspirin can cost less than $10, the equivalent amount of ticlopidine can run significantly more than $100.","While a month 's supply of aspirin can cost less than $ 10 , the tantamount amount of ticlopidine can run importantly more than $ 100 .",1
Arison said Mann may have been one of the pioneers of the world music movement and he had a deep love of Brazilian music.,Arison said Mann may have been one of the pioneers of the world music movement and he had a mystifying love of brazilian music .,1
"The virus kills roughly 36,000 people in an average year, according to the U.S. Centers for Disease Control and Prevention.","The virus kills or so 36,000 people in an middling year , according to the U.S. Centers for Disease Control and Prevention .",1
"In two new schemes, people posing as IRS representatives target families of armed forces members and e-mail users.","In two newfangled schemes , people posing as IRS representatives target families of arm forces members and email users .",1
"Wim Wenders directed a widely praised film of the same name, based on the sessions.","Wim Wenders directed a wide praised film of the same name , based on the sessions .",1
"Miss Novikova said while there is no standard weight for ballerinas, Miss Volochkova is 'bigger than others'.","Miss Novikova said while there is no banner weight for ballerinas , Miss Volochkova is 'bigger than others ' .",1
Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq.,Both have aired videotapes of ex president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq .,1
"Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.","Under the program , U.S. officials work with strange port authorities to identify , target and research risky cargo .",1
"And if we don't do this, innocent people on the ground are going to die, too.""","And if we do n't do this , ingenuous people on the ground are going to die , too . ''",1
"""It's probably not the easiest time to take over the shuttle program,"" he added, ""but I look forward to the challenge.","`` It 's likely not the easiest time to take over the bird program , '' he added , `` but I look onwards to the challenge .",1
"As a result, Nelson now faces up to 10 years' jail instead of life.","As a result , Nelson now faces up to 10 years ' jail alternatively of life .",1
"With all precincts reporting, Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote.","With all precincts reporting , Fletcher — a three-term congressman from Lexington — had an flood out 57 percent of the vote .",1
"""His progress is steady, he's stable, he's comfortable,"" Jack said Tuesday afternoon.","`` His progress is unshakable , he 's unchanging , he 's easy , '' Jack said Tuesday afternoon .",1
"Shadrin said Khodorkovsky's aircraft was approached by officers identifying themselves as members of the FSB intelligence service, the domestic successor to the Soviet KGB.","Shadrin said Khodorkovsky 's aircraft was approached by officers identifying themselves as members of the FSB intelligence service , the domesticated successor to the Soviet KGB .",1
"She claimed all the babies were born full-term and died within hours, he said.","She claimed all the babies were born full term and died within hours , he said .",1
French Foreign Minister Dominique de Villepin was scheduled to arrive Sharm el-Sheikh on Wednesday.,gallic Foreign Minister Dominique de Villepin was scheduled to arrive Sharm el-Sheikh on Wednesday .,1
"They believe the same is true in humans, giving a 30 per cent higher risk of the disease.","They believe the same is honest in humans , giving a 30 per cent higher risk of the disease .",1
Total sales for the period declined 8.0 percent to $1.99 billion from a year earlier.,add sales for the period declined 8.0 percent to $ 1.99 billion from a year earlier .,1
U.S. law enforcement officials are sneering at Dar Heatherington's version of the events which thrust her into the public spotlight.,U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the populace spotlight .,1
"Michael Mitchell, the chief public defender in Baton Rouge who is representing Lee, did not answer his phone Wednesday afternoon.","Michael Mitchell , the honcho populace defender in Baton Rouge who is representing Lee , did not answer his phone Wednesday afternoon .",1
"In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.","In Canada , the din dollar will be in focus again as it tries to stay above the 75 cent ( U.S. ) mark .",1
"They are tired of paying the high cost of CDs and DVDs and prefer more flexible forms of on-demand media delivery.""",They are tired of paying the mellow cost of CDs and DVDs and prefer more conciliatory forms of on-demand media delivery . '',1
"""The bolt catcher is not as robust as it is supposed to be,"" the board's chairman, retired Adm. Hal Gehman, said.","`` The bolt catcher is not as racy as it is supposed to be , '' the board 's chairman , retired Adm. Hal Gehman , said .",1
"Morgan Stanley raised its rating on the beverage maker to ""overweight"" from ""equal-weight"" saying in part that pricing power with its bottlers should improve in 2004.",Morgan Stanley raised its rating on the beverage maker to `` stoutness '' from `` equal-weight '' saying in part that pricing power with its bottlers should improve in 2004 .,1
"The Interior Minister, Al Mustapha Sahel, said the investigation ""points to a group that has been arrested recently"", an apparent reference to Djihad Salafist.","The Interior Minister , Al Mustapha Sahel , said the investigation `` points to a group that has been arrested of late '' , an ostensible reference to Djihad Salafist .",1
"The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.","The pound too made progress against the dollar , reached clean three-year highs at $ 1.6789 .",1
"The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.","The report was found Oct. 23 , tucked inside an honest to god three-ring binder not related to the investigation .",1
"Muslim immigrants have used the networks - which rely on wire transfers, couriers and overnight mail - to send cash to their families overseas.","Muslim immigrants have used the networks - which rely on wire transfers , couriers and nightlong mail - to send cash to their families abroad .",1
"Also arrested Friday was Claudia Carrizales de Villa, 34, a Mexican citizen who lives in Harlingen.","likewise arrested Friday was Claudia Carrizales de Villa , 34 , a mexican citizen who lives in Harlingen .",1
Ukrainian President Leonid Kuchma today cut short a visit to Latin America as a bitter border wrangle between Ukraine and Russia deteriorates further.,ukrainian President Leonid Kuchma today cut brusque a visit to Latin America as a sulphurous border wrangle between Ukraine and Russia deteriorates further .,1
"For the weekend, the top 12 movies grossed $157.1 million, up 52 percent from the same weekend a year earlier.","For the weekend , the spinning top 12 movies grossed $ 157.1 million , up 52 percent from the same weekend a year earlier .",1
"""Nobody really knows what happened except me and that guard,"" Kaye said, ""and I can assure you that what he said happened didn't happen.""","`` Nobody in truth knows what happened except me and that guard , '' Kaye said , `` and I can assure you that what he said happened did n't happen . ''",1
Shares of Corixa fell 12 cents to $6.88 as of 3:59 p.m. At the time federal investigators were looking into how CFSB allocated shares of initial public stock offerings.,Shares of Corixa fell 12 cents to $ 6.88 as of 3:59 p.m. At the time union soldier investigators were looking into how CFSB allocated shares of initial populace stock offerings .,1
Qanbar said the council members would possibly elect a chairman later Sunday.,Qanbar said the council members would mayhap elect a chairman previous Sunday .,1
"By 2007, antivirus solutions will carry a worldwide price tag of $4.4 billion--double that of five years earlier.","By 2007 , antivirus solutions will carry a general price tag of $ 4.4 billion -- repeat that of five years earlier .",1
The Securities and Exchange Commission brought a related civil case on Thursday.,The Securities and Exchange Commission brought a related polite case on Thursday .,1
One of the features is the ability to delete data on a handheld device or lock down the device should a user lose it.,One of the features is the ability to delete data on a hand held device or lock down the device should a user lose it .,1
Last month Intel raised its revenue guidance for the quarter to between $7.6 billion and $7.8 billion.,shoemakers last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion .,1
"""I just got carried away and started making stuff,"" Byrne said.","`` I just got carried forth and started making stuff , '' Byrne said .",1
"Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.","Handspring shareholders will get 0.09 shares of the parent company , Palm , Inc. , for each share of Handspring rough cut stock they presently own .",1
"Based on having at least one of the symptoms, most students had been hung over between three and 11 times in the previous year.","Based on having at least one of the symptoms , most students had been hung over between three and 11 times in the late year .",1
"Tibco has used the Rendezvous name since 1994 for several of its technology products, according to the Palo Alto, California company.","Tibco has used the Rendezvous name since 1994 for various of its technology products , according to the Palo Alto , California company .",1
"A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.","A few thousand troops , most from the division 's 3rd Brigade Combat Team based at Fort Benning in Columbus , began returning net week , with flights continuing through Friday .",1
"In a televised interview on Wednesday, ECB President Wim Duisenberg said it was too soon to discuss further interest rate cuts in the 12-nation euro zone.","In a telecast interview on Wednesday , ECB President Wim Duisenberg said it was too shortly to discuss further interest rate cuts in the 12-nation euro zone .",1
"Teenagers at high schools where condoms were available were no more likely to have sex than other teens, a study published Wednesday finds.","Teenagers at in high spirits schools where condoms were useable were no more belike to have sex than other teens , a study published Wednesday finds .",1
"Later in the day, however, a former Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too difficult to install.","previous in the day , yet , a onetime Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too hard to install .",1
"They were found in a stolen van, said James Flateau, a spokesman for the state Department of Correctional Services.","They were found in a steal van , said James Flateau , a spokesman for the state Department of Correctional Services .",1
"On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.","On Thursday , a Post article argued that a 50 basis point cut from the Fed was more probably .",1
"Sun was the lone major vendor to see its shipments decline, falling 2.9 percent to 59,692 units.","Sun was the lone john roy major vendor to see its shipments decline , falling 2.9 percent to 59,692 units .",1
"He is one of two Democrats on the five-member FCC, and he is a strong advocate of harsher penalties against radio and television stations that violate indecency laws.","He is one of two Democrats on the five-member FCC , and he is a unassailable advocate of harsher penalties against radio and television stations that violate indecency laws .",1
"State media said there were at least 770 dead and over 5,600 injured.","State media said there were at least 770 deadened and over 5,600 hurt .",1
The March downturn was the only break in what has been broad growth in services for the past 15 months.,The March downturn was the only break in what has been blanket growth in services for the retiring 15 months .,1
"In the first three months of 2003 alone, weekly earnings adjusted for inflation fell 1.5% -- the biggest drop in more than a decade,"" Lieberman said.","In the inaugural three months of 2003 lone , hebdomadally earnings adjusted for inflation fell 1.5 % -- the biggest drop in more than a decade , '' Lieberman said .",1
President George W. Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for going to war.,President George W. Bush and peak administration officials cited the threat from Iraq 's banned weapons programs as the master justification for going to war .,1
"""This man gambled with our lives and we, the passengers, lost,"" said Andres Rivera Jr., who was also on the bus.","`` This man gambled with our lives and we , the passengers , lost , '' said Andres Rivera Jr. , who was likewise on the bus .",1
"We remain hopeful that the city will agree to work with us and engage in good-faith discussions on this issue.""",We remain aspirant that the city will agree to work with us and engage in good-faith discussions on this issue . '',1
"Later in the day, a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound.","later on in the day , a standoff developed between gallic soldiers and a Hema battlewagon that attempted to pass the UN compound .",1
"""By its actions, the Bush administration threatens to give a bad name to a just war,"" Lieberman said.","`` By its actions , the Bush administration threatens to give a big name to a just war , '' Lieberman said .",1
"Even without call center requests, companies using the handset option must have 95 percent of their customers using the technology by the end of 2005.","yet without call center requests , companies using the handset option must have 95 percent of their customers using the technology by the end of 2005 .",1
