Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
How does killing Barron affect the timeline in Miss Peregrine's Home for Peculiar Children?,"<p>In the movie ""Miss Peregrine's Home for Peculiar Children"", Mr. Barron kidnaps Miss Peregrine in order to use her in his immortality experiment.  With Miss Peregrine gone, the time loop she created in September 1943 collapses, stranding Jake and the other kids in 1943.  So to rescue Miss Peregrine, they take a ship to Blackpool, where Miss Avicet's loop in January 2016 is located.  While aboard the ship, Emma says this to Jake:</p>

<blockquote>
  <p>Jake, you know what this means don't you? ... We have to get to our own time but you don't.  You can continue to live in 2016... If we kill Barron, he'll be gone but time will carry on.  He won't go to Florida, Abe won't die, and you can go home.""</p>
</blockquote>

<p>My question is, how would killing Barron save the life of Jake's grandfather Abe?  Abe died in July 2016, so theoretically killing a version of Barron from before then would prevent Abe's death.  But that's not what happens; in Blackpool Barron speaks about Abe's death:</p>

<blockquote>
  <p>I tracked Abe Portman for months.  All I needed was a few minutes to get the location of Miss Peregrine's loop from him.  But no, Mathus couldn't wait.  And instead, I had to masquerade as a psychiatrist for three weeks in Florida.</p>
</blockquote>

<p>So if Barron has already participated in the Florida events, how will killing Bareon mean that ""he won't go to Florida [and] Abe won't die""?</p>

<p>Is it supposed to be that if you die within a time loop you get erased from the timeline or something?  This is mighty <em>peculiar</em>, no pun intended.</p>
",62426,27-10-2016 01:23,How did the plan work out at the end?,"<p>In the end of <em>Miss Peregrine's Home for Peculiar Children</em> we see Jake going to his grandfather's house. And he is alive even when he was killed in the very beginning of the movie. </p>

<p>Why was Abraham ""Abe"" Portman, the grandparent of Jake Portman alive when they destroyed Mr. Barron? </p>

<p>Does it mean that everyone killed by Mr. Barron returned to life or just the ones who lived in Miss Peregrine's loop? </p>
",62099,19-10-2016 02:17
How did the guy in the 1st episode of Westworld not get hurt when he was shot?,"<p>At first when I saw the guy not get hurt, I assumed this was a simulated / virtual reality world. Then as the episode goes on it's shown that it's a real, physical place, with artificially intelligent robots. I sort of get the idea that the AI's programming keeps them from harming living things, but if, like in that case, the robots don't know the difference, how can they know not to kill them? They certainly have no qualms about killing each-other? </p>

<p>And then, when the robot shoots the ""bad guy"" (not sure about character names yet) with the same gun he just ""killed"" 2 other robots with (the ones who killed the girl's parents), how is it that the guy is immune? </p>

<p>I'm looking for an overall explanation of how the system of not hurting some things (flies, humans, etc) whilst hurting other things (other robots) works, and how their bullets just have no effect of living things, but hurt other robots.</p>
",62750,03-11-2016 23:16,Have guns in Westworld started operating differently?,"<p>In the first episode of the show Westworld, Ed Harris (a ""guest"" / human) is being shot at by James Marsden (a ""host"" / robot). It is as though Ed Harris has a force field around him; the bullets all miss or are blocked.</p>

<p>In the third episode of the series, guest Jimmi Simpson is shot by a host in town. The ""bullet"" knocks Jimmi Simpson down, and leaves a mark on his chest.</p>

<p>Is this an inconsistency in the scripts, or has the Westworld park changed the way guns work, or do guests get to determine how they'll be affected by being shot by hosts?</p>
",62005,17-10-2016 03:20
How did Strucker transport the Chitauri whale corpse/skeleton from NYC to Sokovia?,"<p>In the beginning of Avengers Age of Ultron movie, Avengers attack Strucker's base and there Stark discovers the corpse/skeleton of the big Chitauri whale that attacked NYC in the first Avengers movie. That the skeleton is indeed likely of the Chitauri whale is further reaffirmed when it comes alive in Stark's vision as part of the Chitauri fleet attacking earth. </p>

<p>Was Strucker trying to create those Chitauri whales himself? It doesn't sound logical because that wouldn't work without the alien technology, troops and tactics etc that Chitauri employed. </p>

<p>Did Strucker import it from US? If so, how? There were only 2-3 of them and each was big enough to not go unnoticed.  </p>
",64054,29-11-2016 15:08,How do HYDRA get the Leviathan to Strucker's base?,"<p>At the start of the Avengers: Age of Ultron movie, the Avengers are on a mission, attempting to retrieve Loki's staff from HYDRA. They're attacking a castle which is a HYDRA base run by Strucker and they've got a Chitauri Leviathan corpse at the base. </p>

<p>Presumably this came from the battle of New York from the first Avengers movie, but how did HYDRA get the corpse of a Leviathan out of New York without S.H.I.E.L.D doing anything about it?</p>
",34193,10-05-2015 11:34
"Why does Root refer to the Machine as ""She"", not ""He""?","<p><a href=""https://movies.stackexchange.com/q/51102/49"">This previous question</a> about <em>Person of Interest</em> already asked why everyone else but Root called the Machine ""she"" rather than ""it"". But in this question I'm more concerned about why Root actually calls it a ""she"", rather than a ""he"". I am asking about Root because she started calling it ""She"" and others have simply followed the trend, as indicated by the answers to the previous question.</p>

<p>I understand that Root considers the Machine an intelligent being, even superior to humans. Later, she says she has an intimate relationship with the Machine. So, that helps me understand why she doesn't refer to it as ""IT"". Still why simply not refer to it as ""He""?</p>
",64959,14-12-2016 10:43,"Why do some characters call the Machine ""she""?","<p>On <em>Person of Interest</em>, most people on Team Machine refer to it as ""she"". To me, that's sort of clear for Root, not so clear for Finch and even less clear for others.
Why do they do that?</p>

<p>P.S. I don't recall perfectly, but Samaritan is mostly called ""it"" and not ""he"". But should it be a ""he"" in contrast to the Machine?</p>
",51102,31-03-2016 21:28
Stock exchange robbery in The Dark Knight Rises,"<p>I have seen <em>The Dark Knight Rises</em> quite a few times and I am unable to understand the significance of Bane raiding the stock exchange. Miranda Tate is already known to be a billionaire so why does Bane need any more money? 
The relevance is not explained in the movie after the scene. Was it just set up to set a grand entrance for Bruce?</p>

<p>The program was anyway running through wireless medium, why didn't they just rob the exchange remotely?  Neither did Bane know Batman is to return, the cops would've chased them to the tunnels and the show would've been over before it began.</p>
",66002,01-01-2017 15:34,"Why does Bane rob the stock exchange, with Bruce Wayne's fingerprints?","<p>I recently saw <em>The Dark Knight Rises</em> and I don't remember the goal of the stock exchange robbery.</p>

<p>I remember that:</p>

<ul>
<li>Selina Kyle steals Bruce Wayne's fingerprints and gives them indirectly to Bane.</li>
<li>Bane use them to rob the stock exchange.</li>
<li>There are some announcements that economy (and the city) would be perturbated due to the economic losses.</li>
<li>But that's nothing compared to the attack by Bane and the bomb threat.</li>
</ul>

<p>So I don't understand how do this serves the plot of the movie.</p>

<p>Did Bane want to steal the money? It doesn't look like he needs it since his project is funded by Bruce Wayne's economic rival.</p>

<p>The usage of the fingerprints suggests that it targeted Bruce Wayne directly, but I find it extraneous.</p>
",57674,03-08-2016 14:31
What does the ending scene of The Sopranos mean?,"<p>In The Sopranos final scene, Tony Soprano was sitting with his family at a restaurant waiting for his daughter to come. And once she did a black screen had appeared and finished the show. So what does that mean? I still don't get it!</p>
",66244,05-01-2017 10:18,Has David Chase ever commented about the fate of Tony Soprano?,"<p>The final scene of the Sopranos has been the subject of much debate since it aired. I read a great post several months ago located at <a href=""http://masterofsopranos.wordpress.com/the-sopranos-definitive-explanation-of-the-end/"" rel=""nofollow noreferrer"">The Sopranos: Definitive Explanation of &quot;The END&quot;</a>.</p>
<p>I tend to agree with the author of that article when he states:</p>
<blockquote class=""spoiler"">
<p> Tony was killed.</p>
</blockquote>
<p>However my question is, has David Chase ever commented on the ending to give an indication to what actually happened to Tony Soprano?</p>
",6865,01-11-2012 13:54
Why is Snape's Patronus a doe?,"<p>Lilly loved James whose Patronus was a stag, therefore hers became a doe. Snape hid that he loved Lilly for so long, what if Snape's Patronus was a doe because he loved Harry, whose Patronus was a stag?</p>
",66496,09-01-2017 06:40,What is the nature of Professor Snape's Patronus and why does it appear in the Forest of Dean?,"<p>During <a href=""http://www.imdb.com/title/tt0926084/"" rel=""noreferrer""><em>Harry Potter and the Deathly Hallows: Part 1</em></a> the crew (now reduced to only Harry and  Hermione) wander through the Forest of Dean when a Patronus in the shape of a doe leads Harry to the frozen lake where he finds the Sword of Godric Gryffindor. Later during the events of <a href=""http://www.imdb.com/title/tt1201607/"" rel=""noreferrer""><em>Part 2</em></a> we (and Harry) take a look at the late Prof. Snape's memories and see that it was actually Snape who cast a doe Patronus (supposedly to Harry's aid), much to Dumbledore's surprise, who therefrom deduces a relation to Lily Potter (who Snape was secretly in love with all the years, albeit only unilaterally):</p>

<blockquote>
  <p><strong>Dumbledore:</strong> Lily, after all this time?<br>
  <strong>Snape:</strong> Always.</p>
</blockquote>

<p>Which already makes me wonder what Dumbledore was actually surprised about there. Was he simply surprised that Snape still loved Lily or was there anything deeper suggested with this Patronus? Add to this that Harry was a bit confused, too, and asked Dumbledore (or at least his mind-image of him, however you take that scene) about the reason for the related Patronuses, which didn't clear any confusions for me, though:</p>

<blockquote>
  <p><strong>Harry:</strong> Professor, my mother's patronus was a doe, wasn't it? That's the same as professor Snape's. That's curious, don't you think?<br>
  <strong>Dumbledore:</strong> Actually, if I think about it, it doesn't seem curious at all.</p>
</blockquote>

<p>So my first question would be, <strong>is there any deeper reason why Prof. Snape and Lily Potter both have a doe as Patronus</strong> or is it just to express that they've always been what one would call soulmates? And <strong>why did the Patronus appear in the Forest of Dean at that moment?</strong> Snape's discussion with Dumbledore and his casting of the Patronus occurred way earlier than that (as Dumbledore obviously was still alive, so at maximum during the events of the <em>Half-Blood Prince</em>). If that was implied to have been the same Patronus that appeared at the Forest of Dean (as the montage implies), why/how/where did it wait for so long? Is this just one of those various moments of stuff ""magically"" appearing when needed (as the Gryffindor Sword and the Room of Requirements use to do) or is there a more elaborate reason the movie just didn't delve into (or am I just too stupid to get it)?</p>
",28496,28-12-2014 22:13
Is wrestling like WWE Fake?,"<p>Is Wrestling such as WWE Faked as the moves that the Wrestlers do seem to be well rehearsed and they don't seem to get hurt </p>
",66874,15-01-2017 11:59,How choreographed/scripted is wrestling?,"<p>Let me start by saying that I know nothing about the big wresting leagues I see on American TV, I've seen them on a couple of times. A couple of things strike me:</p>

<ul>
<li>Some of the ""moves"" they do are potentially very dangerous, this implies that the wrestlers have at least some understanding of the moves which are coming and how they can avoid becoming seriously injured.</li>
<li>There is certainly amateur wrestling around which is a serious competitive sport therefore there must be some improvisation/competition.</li>
</ul>

<p>When we watch a big wrestling match on the television with the top wrestlers how choreographed is the fight (for safety and entertainment reasons) and how much is genuine competition (like boxing)?</p>
",34328,14-05-2015 11:07
Movie where a man runs with a cam in his hand,"<p>Guy runs with a cam in his hand while some guys in suits tries to kill man. Eventually the man escapes from these guys but right after that a police car stops at him and a cop kills that guy. 
Things that I remember from the movie</p>

<ol>
<li><p>American movie around 2000-2010.</p></li>
<li><p>The guy with camera in his hand is probably an African American Actor.</p></li>
<li><p>I think the someone will shoot a congressman while he is trying to address a large crowd.</p></li>
<li><p>There is a guy who wears a black mask.</p></li>
<li><p>There will be a blast and few of the bad guys enters as firemans and while entering ine of these bad guys will be called to save a random guy who is about die.</p></li>
</ol>
",67030,17-01-2017 16:49,Action movie which shows the story of a terrorist attack on the US president from different characters' perspectives,"<p><strong>Time frame (approx)</strong></p>

<p>I have watched this movie around 2008-2009, not sure of actual release date though (maybe 2006-2007 rough guess), watched in DVD</p>

<p><strong>Genre</strong></p>

<p>Action, Color Movie</p>

<p><strong>Plot</strong></p>

<p>This movie basically revolves around a terrorist trying to attack US president and kill when he comes for speech. This terrorist will also have a girlfriend. They show the story from different people perspective, from a terrorist, from a cop and from a guy. (Please note this is the major highlight of the story).</p>

<p>This story also includes a black person, a tourist (please don't take it as racist) who will be always holding camera and trying to record all the events, he also came to listen the speech of president during this time he meets a child with mother, he will be friendly with her.</p>

<p>While he was recording, terrorist shoots the president he also records this one, after actual attack happens cops try to see the accused from his camera. And after attack child and mother goes missing, and he will take care of that child.</p>

<p>At one point during chasing terrorist sees same child crossing the road and child gets scared and stops in front of middle road, at this point again story goes reverse and they show story from another perspective. </p>

<p><strong>Language</strong></p>

<p>I have watched in English, it includes hollywood actors I don't know name though.</p>

<p>It's one of the finest movie I have watched which shows same story from different character perspective, and builds story based on that. I forgot name. Can someone please help? I have tried to recall story as much as possible as I have watched it many years back.</p>
",72006,20-04-2017 13:24
Have any fights happened because of the joking on Impractical Jokers,"<p>I love the show, and was just wondering if any of the guys have gotten into a fight because of their awesome sense of humor.</p>
",67368,23-01-2017 06:34,Impractical jokers ever gotten into serious trouble?,"<p>Have the guys from the show Impractical Jokers gotten into any major trouble because of the nature of their show? </p>

<p>Eg: have they been physically assaulted or has anyone thrown a law suit on them?</p>
",31868,07-03-2015 04:26
Why are movies still shot on film?,"<p>Many modern big budget films such as <a href=""https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens"">Star Wars: The Force Awakens</a>, <a href=""https://en.wikipedia.org/wiki/Interstellar_(film)"">Interstellar</a> and even some TV shows such as <a href=""https://en.wikipedia.org/wiki/Breaking_Bad"">Breaking Bad</a> are still shot on film.</p>

<p>Directors such as Christopher Nolan and Quentin Tarantino have stated that they oppose digital cinematography due to the inferior image quality. Tarantino even saying that he thinks digital cinema is the <a href=""https://www.youtube.com/watch?v=BON9Ksn1PqI"">""death rattle""</a> of the film industry.</p>

<p>What are the benefits of shooting on film? Pre-2010 it seems film may have had a technical edge, but with the advancing technology I cannot see any way in which film is still superior:</p>

<p>Modern digital cameras are smaller, lighter, cheaper, more flexible and offer a much higher dynamic range, frame rate and a similar or better resolution than their film counterparts. In addition, most films are edited and projected digitally at 2K or 4K which would remove any additional resolution you may gain from film. Even if a ""film look"" is desired it can be created in post production from digital footage and can look indistinguishable from real film.</p>

<p>Why do many directors and cinematographers still prefer film? I cannot find anything other than vague mentions of ""better resolution"" or ""it just looks better"".</p>
",67383,23-01-2017 13:39,Was film actually “better” than digital media?,"<p>I happen, time and again, to read and hear people – among which people working in cinema – regretting the fact that film (in the sense of actual reels of plastic strip) is nowadays very rarely used when shooting movies. Is there some ground to such nostalgia?</p>

<p>Of course I am not looking for opinions for or against film vs. digital media, but sourced, objective reasons. Is there anything that could be done with film but not with digital supports? Are there measurable differences in effects on viewers?</p>
",34435,17-05-2015 17:29
Why did Mycroft have to break into a facility that he has authority over?,"<p>In <em>The Final Problem</em>, Sherlock, John and Mycroft trick their way into the facility at Sherrinford. Once captured, Mycroft reveals himself and begins to demand an account of events from the governor.</p>

<p>Since the whole facility is accountable to Mycroft anyway, why does he have to trick his way into Sherrinford?</p>
",67394,23-01-2017 17:28,Why did Mycroft and Sherlock disguise themselves to meet Eurus?,"<p>In Sherlock S04E03 we see Mycroft disguised as a fisherman along with John Watson to let Sherlock (impersonating a security official) meet Eurus. Time and again in this episode as well as the previous ones, it has been clearly mentioned that Mycroft holds a respectable position in the government; infact <strong>he himself</strong> is the British Government. Without the direct orders of Mycroft, no one is allowed to diagnose Eurus or even talk to her. </p>

<p>So couldn't Mycroft just order the Sherrinford authorities to let Sherlock meet Eurus.</p>

<p>Why did they undertake so much trouble for the meeting?</p>
",67333,22-01-2017 15:02
Did the moment when the Chinese general tells his phone number actually happen?,"<p>In the movie <strong><em>Arrival</em></strong>, the main character has dream-like premonitions of events that happen later.</p>

<p>She also has what is apparently a premonition in which she meets the Chinese general at a formal state function, and he tells her his private phone number. Then after waking from this premonition, she is able to recall the number, even though the general has not actually told her it yet.</p>

<p>Overall, <strong>if I recall correctly, all her other premonitions ended up happening -- so did the moment when the general tells his number also happen?</strong> (I ask because the conversation about the number would seem unnecessary once she had learned the number from her premonition)</p>
",67740,30-01-2017 02:48,How does this work in Arrival,"<p>I once asked a question about the time line of an incredibly complex time travel movie on this site and received some incredibly elegant explanations. I'm wondering if you guys can explain Arrival too. </p>

<p>She learns an alien language which allows her to think in such a way that she knows the future. In the future, an important leader tells her at a world convention that he remembers when she called him on his personal number and got his attention by telling him his wifes dying words.</p>

<p>He then proceeds to give her his cell number and tells her his wife's dying words. In the ""past"", as she ""sees"" this ""memory"" of the future conversation, she uses this number to call him and tells him those words. </p>

<p>How does that work? Mind blown. Is there even a logical way to explain this?</p>
",64651,10-12-2016 04:23
"How can the chainsaw-scene of ""American Psycho"" (2000) be explained?","<p>What actually happened in this scene? [<strong><em>Warning: Graphic</em></strong>]</p>

<p><div class=""youtube-embed""><div>
                <iframe width=""640px"" height=""395px"" src=""https://www.youtube.com/embed/B0T6AbWx4Y4?start=0""></iframe>
            </div></div></p>

<ol>
<li><p>Did or didn't Bateman <strong>really</strong> fatally injure the prostitute on the bed?</p></li>
<li><p>Did or didn't Bateman <strong>really</strong> kill the 2nd prostitute with chainsaw?</p></li>
<li><p>If NO, why was that 2nd prostitute so horrified?</p></li>
</ol>
",68083,04-02-2017 15:56,What happened to the bodies in American Psycho?,"<p>Towards the end of the movie, we see <a href=""http://en.wikipedia.org/wiki/Patrick_Bateman"">Patrick Bateman</a> in an apartment full of dead bodies. He ends up confessing what he's done to his lawyer. Later he goes back to the apartment, only to find the bodies are all gone. What happened to the bodies?</p>
",10581,20-03-2013 05:51
Traductions: are lips movements changed for every language?,"<p>If I watch <em>The Simpsons</em> in French for example then the lips movements match with the oral traduction.</p>

<p><strong>Question:</strong> In general, are lips movements in animated films/shows modified to match traductions in languages different from the original one?</p>

<p>This seems like a lot of work to me, but I don't see how there could be a perfect match if it wasn't done.</p>
",68389,09-02-2017 21:51,Do feature-length animation studios reanimate characters' mouths for foreign language dubs?,"<p>For instance, I know that Toy Story 3 was released in several other languages besides English, did Pixar re-render the characters mouths to sync with the audio? Do traditional animation studios do this?</p>

<p>I would ask about television shows as well, but I'm fairly certain that the lower budgets means this never happens.</p>
",16887,26-01-2014 00:18
