Sentence1,Sentence2
Is it rude to remind an editor about a manuscript submission still waiting for an invitee after 2 months?,Is it okay to inquire about the status of a paper when the online submission system shows no update three months after submission?
,
Would my paper be published if I missed the conference due to visa-related problems?,What to do if I can't get a visa to attend a conference that accepted my paper?
,
Recommendation letter for a good student that you don't know?,"How do you write a letter of recommendation for someone who got an A in your class, but who you've never talked to outside of class?"
,
Supervisor discourages me from using a method he doesn't know. Can I work on it and publish it by myself?,I want to change my thesis topic (to the extent that the ethos is still in tact) but my advisor does not agree. What can I do?
,
Can I get a Master's degree without a Bachelor's?,Is it possible to obtain a Master's degree without Bachelor's degree?
,
Write email to a professor who is recruiting new PhD students,"What could/do applicants usually ask professors, and how does this reflect in a statement of purpose?"
,
At what stage of computer science PhD should you start looking for post-doc?,How long before PhD graduation should I start applying for post-doc positions?
,
Bachelors in computer science and wanting a masters?,Graduate school admission with a degree in a different field
,
Discovering mistakes in thesis after submission and printing,What to do when you discover a mistake in the archived copy of your PhD thesis?
,
Terrible undergraduate transcripts. Everything else is good. Is it still worth applying to a Ph.D program in economics in a top 30 U.S. university?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Will one flawed grade outside of my major from my freshman year affect graduate school?,Does a bad grade in one course (with otherwise OK record) affect graduate admissions?
,
How to spot problematic pictures in a publication?,How can editors and reviewers detect data manipulation?
,
Young engineer not wanting to work in academia: is PhD worth it?,Is PhD worth it when considering your career in industry
,
"Applying to summer research project, should I tell prof about mental health issues to explain poor grades last year?","Applying to grad school for mathematics with low GPA, but reluctant to bring up the health issues that caused it"
,
Letter of recommendation from a deceased advisor,Is it ethical to use a recommendation letter from a deceased professor?
,
Under what circumstances would a University revoke a student's degree?,Can a university retract a degree for actions taken after the degree is awarded?
,
Why are some journals prestigious and others aren't?,How and why did the top journals become top journals?
,
What is the Minimum GPA for admission in a graduate school in a respectable science university in the US?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Is deferred enrollment normal or acceptable to graduate programs? What are the acceptable reasons for it?,Why would a grad school not want me to defer admission?
,
What can I do in my last semester to improve my chances of admission to physics PhD with a poor GPA?,How do you get a bad transcript past Ph.D. admissions?
,
Paper under review in a reputed Math journal for 7 months,Average time alloted for manuscript review across disciplines
,
Is it commonplace for students to feel anxious about graduation?,How should I deal with becoming discouraged as a graduate student?
,
Is it normal/advised to finish your masters to get a better PhD offer?,Apply for PhD before finishing my Master's degree
,
How many credit hours of mathematics does an average successful student take before applying to graduate school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
"Choosing between an older, prominent supervisor and a younger, junior supervisor for PhD","How should I take a potential PhD supervisor's age into account, when planning to follow PhD with habilitation?"
,
Former MD/PhD student looking to apply again to MD or MD/PhD,Dismissed from PhD due to disability-related misconduct: how to answer question about dismissal?
,
"Coming from a ""No Name"" University outside the US, what are my chances for admission","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Is it self-plagiarism to copy & paste from my own published paper to my grant application?,Re-using text from a grant proposal in a paper (or vice versa)
,
Write 'According to Wikipedia' in a PhD thesis,Are there instances where citing Wikipedia is allowed?
,
Question regarding the review process in IEEE Transactions on Multimedia,What does the typical workflow of a journal look like?
,
"How to submit an article (for example, on arXiv) without being affiliated to any institution?",Does one need to be affiliated with a university to publish papers?
,
How can I prove my proficiency in a math subject that I've learned on my own after I graduated?,How to make sure graduate admissions committees are able to recognize/verify the material a student has self studied
,
Would recommendation letters from the chemists in the industry lab I work in be helpful?,Is it advisable to get a recommendation letter from industry for a Masters program in Computer Science in the US?
,
"What does it meant "" assignment of paper with decision in prosess "" in the same time?",What does the typical workflow of a journal look like?
,
Is it unethical to hire a paper writer AFTER the assignment is done?,Is it considered cheating if I purchase an essay but then don't use it?
,
Which is more important for phd? university or supervisor?,"What's more important in choosing a PhD program, advisor or institution?"
,
"Submitted to a non Scopus-indexed journal, later found that University only accept Scopus journals. How can I submit to another journal?",What to do when you have accidentally submitted an article to a predatory journal
,
Should I inform the people that I acknowledged in PhD thesis?,Should I notify people I mention in the acknowledgements section?
,
When is it acceptable to report classmates who cheat on an exam?,Is it okay to report classmates cheating on exams?
,
How to effectively write a paper of N>2 co-authors?,Simplest way to jointly write a manuscript?
,
Is it important to include my supervisor name in research paper,When should a supervisor be an author?
,
How likely is it to get into grad school with many W's and an F on your transcript given you have medical documents that give reason for your grades?,How do grad schools look upon students with chronic illnesses?
,
Manuscript status shows 'With Editor' after only 4 days in peer review,What does the typical workflow of a journal look like?
,
My professor is using questions from other colleges for an assignment. Is this plagiarism?,Is it considered plagiarism for a professor to use uncited sources in teaching materials?
,
Is it possible to get a PhD position in the USA without applying to a PhD program?,Can a professor influence the graduate admissions committee if he or she is interested in a particular student?
,
How to get external travel funding for AI conference?,Travel grant for undergraduate researcher for attending conference
,
Counting the the number of publications citing all of a given set of publications,How to identify the publications that cite two specific papers?
,
What is the general consensus about World Scientific journals?,How do you judge the quality of a journal?
,
Preprint on CV - should I include journal I submitted to?,"Indicate Journal name for ""under review"" and ""accepted/in press"" publications on CV"
,
How do I explain my poor grade to a grad school committee?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Accepting a tenure track position if I know I won’t stay till tenure,Should I apply to tenure-track positions if I'm fairly certain I won't be staying?
,
What do I put for my affiliation on a paper when I have none,"What to put in ""affiliation"" field when submitting paper without affiliation?"
,
Prospective student’s first email to a potential advisor?,How should I phrase an important question that I need to ask a professor?
,
What would happen if I am doing my PhD on a topic and I find a very recent paper with the results I was obtaining?,What happens if someone publishes a paper on your current PhD thesis topic
,
Should I send low GRE mathematics score to universities?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
"I don't want to disclose ""other schools"" in my application","PhD application asking what other insitution I am applying to, how to answer?"
,
Poor Master's grade but demonstrably passionate about the field- do I stand a chance of getting a funded PhD place?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Is providing funding enough reason to be a corresponding author?,What are the minimum contributions required for co-authorship
,
Journal doesn’t react for several months – should I withdraw?,"Is my paper under review (or similar) for too long and if yes, how should I react?"
,
"What does ""awaiting EIC decision"" mean when it occurs immediately after ""awaiting reviewer selection""?",What does the typical workflow of a journal look like?
,
A reviewer has stolen my idea – what can I do?,What to do if a referee plagiarises the result after rejecting a paper?
,
Will university admissions google the academics who write my references?,Is it okay to have a good (not strong) recommendation letter from a well-known scientist?
,
How do I ask a professor at a different department whether I can attend his classes?,How should I phrase an important question that I need to ask a professor?
,
How much a statement of purpose can help with PhD admission?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
How do I respond to my professors email about recommendation letter? He is out of the country for sometime and his FIL is ill,How should I phrase an important question that I need to ask a professor?
,
Post doc or Lecturer after Full-time PhD? and Can I apply for Post doc after Thesis submission or should wait until Viva-voce?,How long before PhD graduation should I start applying for post-doc positions?
,
"Plural-active, singular-active or another voice when writing a paper by yourself?",Choice of personal pronoun in single-author papers
,
"Succes in research, awful in solving in basic things","""I've somehow convinced everyone that I'm actually good at this"" - how to effectively deal with Imposter Syndrome"
,
Journal Editor does not respond about status of paper ~1 year,Slow Response from Journal: Should I withdraw a paper?
,
Interested in Neuroscience programs but lack research experience & grades,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Should sources helping me understand concepts but not crucial to reconstruct my work be cited?,Do I cite introductory material in a subject that helped me indirectly?
,
Submitting short version of an under review journal article in conference,Publishing a conference version of a journal paper at the same time ? (copyright issues)
,
"After submitting a revised manuscript (moderate revision was requested), what are the steps followed?",What does the typical workflow of a journal look like?
,
Awaiting recommendation will take how long time?,What does the typical workflow of a journal look like?
,
How to thank a potential supervisor's email?,How should I phrase an important question that I need to ask a professor?
,
What's the reasoning behind GRE scoring scale?,Why do some tests have a (nonzero) minimum score?
,
How much will a bad grade in a relevant Master's class hurt my chances for a statistics PhD?,Does a bad grade in one course (with otherwise OK record) affect graduate admissions?
,
"Can I claim to have completed my degree on my résumé, prior to convocating and receiving the physical diploma?",How do I express a degree on my CV that I have completed but have not been awarded?
,
How should I handle a paper with incorrect experimental results?,Can I challenge a paper already published in a peer reviewed conference/journal?
,
I have a UK DClinPsy. Can I use a plain 'Dr.' title in Germany?,"Can my UK PhD permit me to use the title ""Dr.-Ing."" in Germany?"
,
"Author affiliation: If a published work is not done for my company, what affiliation should I use?",What should someone who works at a tech company that isn't associated with the work list as affiliation?
,
Is it possible to gain admission to an engineering master's program without an undergraduate engineering degree?,Graduate school admission with a degree in a different field
,
How to demonstrate potential for securing external funding in faculty applications?,"How to respond to ""How much funding will you bring?"" as an interview question for a faculty job?"
,
Is the prestige and difficulty of your undergraduate institution considered by graduate school?,How are GPAs from different universities evaluated for admissions to MS programs in the USA?
,
"apply for a Master's, already holding a PhD in a similar field","To do another Master's, already holding a PhD"
,
"How to gain admission to a math PhD program when as an undergrad, I didn't do research, take pure math classes, or form relationships with professors?",How can I enter into the mathematics field at the graduate level when I only took a few math courses as an undergrad?
,
"I am unable to reach one of my faculty member through email, phone call or even in person, what may I do?","What can I do one day before admissions deadline, if I believe my recommendation letter writer will not submit in time?"
,
Minor revised article will take how long time for final verdict?,What does the typical workflow of a journal look like?
,
Should the same source be cited repeatedly in a chapter?,How do I cite same reference multiple times in a paper?
,
Should I ask a professor for the third time for a letter of recommendation?,How should I phrase an important question that I need to ask a professor?
,
My applications for PhD in Neuroscience got rejected? How to be an extraordinary candidate for PhD?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Is it OK to send email to journal asking for extension for a revision?,Manuscript revision deadline: how strict are these [at Scientific Reports]
,
How do I find a research topic without the guidance of a professor?,How to find a good topic for a PhD research proposal?
,
Is it possible to cite from an abstract in a scientific paper,Can you cite articles if you only read the abstract?
,
Is it ethical for an instructor to use their own textbook in an undergraduate course?,Is it ethical to profit by having my students buy my textbook?
,
paper on arXiv but not on Google scholar,How long does it usually take for published articles to show up on Google Scholar?
,
"After 20+ years of lecturing, 3 masters (2 M.Sc.), at age of 54 years, is it feasible to start and finish a Ph.D., be hired as a Professor?",I want to do research but I'm too old for a PHD
,
Reviewers had differing opinion on my manuscript,How to effectively address conflicting suggestions from reviewers
,
"Can I remind a professor that I submitted a ""good"" essay in her class? (LOR request)",How should I phrase an important question that I need to ask a professor?
,
Why are reports written in the third person passive?,Using first person or third person in papers?
,
Is Bsc from Netherlands in Computer Science eligible for M S from USA,Can I be admitted to a master's in the USA after a 3-year European bachelor's program?
,
What is the standard way to refer to shared code in conference papers?,How do you cite a Github repository?
,
Should I stress highlighted articles in my CV,Should you include press interviews and articles about your work in your CV?
,
Advice about the copyright in research work as a research associate,Should a PhD student be credited in supervisor’s article that is based on a book chapter by both?
,
How can I get more feedback from my Ph.D supervisor in our meetings?,How to have productive meetings with Ph.D supervisor
,
Why do universities/research agencies allow their employees to do free peer reviewing which financially benefits a third party?,Why don't researchers request payment for refereeing?
,
How long should I wait before accepting a PhD admission offer in the US?,How much time should someone take to respond to a PhD admission offer?
,
Getting help from friend for literature search,Is it ethical to do paid literature searches of research journals for other students?
,
How to read effectively a research paper?,How to make sure one understands each and every detail while reading a textbook/research paper without leaving any gaps?
,
Admission into top engineering graduate programs with a GPA just below the cutoff,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
What to buy for my British phd supervisor for christmas?,Is it standard for graduate students to get gifts for their advisors?
,
What are some tools available for drawing good figures for computer science research papers and presentations,Software to draw illustrative figures in papers
,
Publishing with a Pseudonym that uses my legal first name as last name,What are reasonable alternatives to changing your name for academic publishing when you have a common surname?
,
Can I pursue masters in Psychology from the US with a graduation degree in Bharatanatyam (Prabhakar) and an Honours degree in Psychology (DU)?,Are three year degrees from India equivalent to Four years degree in the US?
,
"When Does ""Adapting"" An Image Go Too Far?",How much do figures need to differ to avoid copyright claims?
,
How can I find if my numerical methods algorithm has already been devised?,How can I efficiently check the originality of my work?
,
"(Potentially) Low GPA with No Reserach Experience, Am I Screwed for math PhD program?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
"What is a ""normal"" teaching load for a Lecturer in a UK pre-'92 University?",Is 100 hours per year of teaching a heavy load for a lecturer?
,
"3.8 GPA in Major, 2 F's in non-major classes","3.8 GPA, but 3 Fs and 1 D on transcript"
,
Would it be safe to assume that TA and tutor are the same thing?,What is the difference between a teaching assistant and an instructor?
,
Getting into a decent Ph.D. program with 3.3 GPA,How do you get a bad transcript past Ph.D. admissions?
,
The best wording to politely nudge the editor?,Is it okay to inquire about the status of a paper when the online submission system shows no update three months after submission?
,
Failed in PhD candidacy and applying to a new graduate school,"Failed PhD qualifying exam, must it be mentioned it in SOP? can I ask my advisor not to mentions in recommendation letter?"
,
How many full-time instructor positions to apply for as a Masters-holder?,How many faculty positions should one apply to?
,
Supervisor asking me to list a co-author who has literally done nothing,My advisor wants me to include a name of someone who has no contribution to the paper
,
Should I mention in my statement of purpose that I am applying because of my girlfriend,"Should an applicant to an university mention that her spouse is currently a student in the same University, as part of her SOP?"
,
Should students who copy homework answers from somewhere else state how they obtained the answer?,"Would it be considered cheating to ask for homework help on the internet, if I openly acknowledge the help received?"
,
Is it common practice to insert images at the top of a page?,Academic publishing: why placing figures on top/bottom of pages in single-column layout?
,
How do commitees evaluate candidates from foreign / unknown universities?,How handicapped am I in graduate admissions if I graduated from a lower tier university?
,
Applying Economics Ph.D/Agricultural/Applied Economics Ph.D programs with low GRE,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Code plagiarism by teacher at renowned university,Is it acceptable for paid online course to use quizzes and materials from elsewhere on the internet?
,
"Is it better to publish a few papers in one journal, or one paper each in several (equally good) journals?",Is there a reason to spread your research into multiple journals instead of just one?
,
Publishing several research papers in the same journal,"Is it better to publish a few papers in one journal, or one paper each in several (equally good) journals?"
,
How to follow up the result of postdoc committee?,How do I deal with postdoc acceptances that come in before my preferred institution makes its decision known?
,
Why scientific articles do not include year/date?,Why don't authors include in their publications the duration of the research?
,
Does in review mean an external reviewer is assigned ?,What does the typical workflow of a journal look like?
,
professor pushing me to get result when nothing is right!,how to stop working for other people's thesis?
,
"How important is the grade for a course I took, if I want to pursue graduate studies in that field?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Is it okay to publish your dissertation as a book and are there things that you should leave out of the book?,How do I convert my PhD dissertation so that it can be published as a book?
,
Research Director not responding to email - should I call him?,How long to wait after sending an email to a professor before I should assume that I will never receive response?
,
Elsevier Journal waiting time after review process,What does the typical workflow of a journal look like?
,
How to Make up for Mediocre STEM GPA? Will Postbac Help?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
I got a B- in Math. How bad is that for Econ?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
No reviews after 7 months of paper submission,"Is my paper under review (or similar) for too long and if yes, how should I react?"
,
"PhD application with mediocre grades, 2 SCI co-authored pubs., LORs from very well knows profs. in the area?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
What time can be considered enough to withdraw my submission?,What does the typical workflow of a journal look like?
,
"struggling with procrastination, looking for strategies and ideas","Strategies to overcome ""academic-apathy"" in the final stages of the PhD?"
,
Approaching a master's in humanities after STEM-focused undergrad,Graduate school admission with a degree in a different field
,
How should I withdraw a paper from a predatory journal?,How can I withdraw a publication from a predatory (fake) journal and resubmit to a legitimate journal?
,
Can a cousin write a recommendation letter for graduate school?,Why can't friends or family members write recommendation letters for graduate admissions?
,
What is the usual dress code for academic workshops?,What do people usually wear to conferences?
,
best words to respond to a request for cv after graduation,Best way to respond to a request for CV after graduation
,
How to deal with my fear of large audiences?,Lecturer with anxiety. How to survive in academia?
,
How should I deal with feeling dumb?,The feeling of inferiority entering a PhD program due to one's undergraduate school rank
,
"Correcting a paper that just came back from review, what should I do?",Can I correct a mistake that the reviewers didn't spot in a paper that has not been accepted yet?
,
Web scraping/email harvesting to contact survey respondents,"Ethics of scraping ""public"" data sources to obtain email addresses"
,
Paper claims that there is no solution for a problem I solved. Should I approach authors or editor first if I want that information to be included?,Recently published paper does not cite my very relevant work
,
"Rejected by fellowships, worrying about my future",Is it possible to get a professor position without having had any fellowships in grad school?
,
How to find out whether potential advisor will retire soon?,Concerns about a very old PhD advisor?
,
How detrimental is a large lab cohort to a graduate students’ success?,What are the pros and cons of doing a PhD in a small research group compared to a large research group?
,
Grad school admissions - I am going to apply to both Physical therapy and Occupational therapy masters - need advice,Leaving undergraduate schools attended off grad applications
,
"Is it polite or annoying to send a professor a short ""Thanks"" email?",Etiquette on sending a thank you e-mail to respondents who gave me helpful information
,
How to find out the impact factor of a journal?,Where can I find the Impact Factor for a given journal?
,
"If I submit a poster to ICDE, can I submit the full version of paper to another conference?",Can I submit the results of a poster to another conference as a full paper?
,
Is it okay to send a gentle reminder to professor,How should I phrase an important question that I need to ask a professor?
,
IEEE Computer Science conference paper: Author order if equal contribution?,Not being a first author diminishes the contribution of co-authors?
,
Do scientists generally use their name in their discoveries themselves or does someone else do them the honors?,What is the general protocol to name something after somebody (some people)?
,
Legality and feasibility of digitizing old text books and course notes for private use,Is it okay to scan a book (that I own) strictly for personal use?
,
What are the downsides (if any) of having a PhD to work in the software industry? Any about having technology certifications?,What are the potential pitfalls of having a PhD?
,
Changing major after BS and MS in CS and double major in Physics for PhD in Mathematics,Graduate school admission with a degree in a different field
,
How to contact another PI as a PhD student wishing to discuss their research?,How should I phrase an important question that I need to ask a professor?
,
Is it possible to get fund if I have a poor cgpa?,Is it possible to get admitted to a MS program with funding if I have a poor GPA but good GRE scores?
,
What can I do if one coauthor tries to prevent a journal paper from being published?,Co-author contributed almost nothing and is blocking publication
,
why should you tell on a cheater on a test?,Is it okay to report classmates cheating on exams?
,
Should I include details about extracurricular art projects on a grad program application?,"Should seemingly arbitrary things like ""play piano for Church"" or ""intramural badminton"" go on M.S. or PhD applications in sciences/engineering?"
,
"Anyone dealt with ""KEI Journals""? What about the journal ""Quarterly Physics Review""?",How do you judge the quality of a journal?
,
How do I use potentially copyrighted images in my course material?,Can I use images showing up in Google search for my presentation slides without violating any copyright?
,
