Sentence1,Sentence2,Gold Label,is_sts
I have a UK DClinPsy. Can I use a plain 'Dr.' title in Germany?,"Can my UK PhD permit me to use the title ""Dr.-Ing."" in Germany?",1,0
"Author affiliation: If a published work is not done for my company, what affiliation should I use?",What should someone who works at a tech company that isn't associated with the work list as affiliation?,1,0
Is it possible to gain admission to an engineering master's program without an undergraduate engineering degree?,Graduate school admission with a degree in a different field,0,0
Is the prestige and difficulty of your undergraduate institution considered by graduate school?,How are GPAs from different universities evaluated for admissions to MS programs in the USA?,0,0
"apply for a Master's, already holding a PhD in a similar field","To do another Master's, already holding a PhD",1,0
"How to gain admission to a math PhD program when as an undergrad, I didn't do research, take pure math classes, or form relationships with professors?",How can I enter into the mathematics field at the graduate level when I only took a few math courses as an undergrad?,1,0
"I am unable to reach one of my faculty member through email, phone call or even in person, what may I do?","What can I do one day before admissions deadline, if I believe my recommendation letter writer will not submit in time?",1,0
Minor revised article will take how long time for final verdict?,What does the typical workflow of a journal look like?,0,0
Should the same source be cited repeatedly in a chapter?,How do I cite same reference multiple times in a paper?,1,0
Should I ask a professor for the third time for a letter of recommendation?,How should I phrase an important question that I need to ask a professor?,1,0
My applications for PhD in Neuroscience got rejected? How to be an extraordinary candidate for PhD?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
Is it OK to send email to journal asking for extension for a revision?,Manuscript revision deadline: how strict are these [at Scientific Reports],0,0
How do I find a research topic without the guidance of a professor?,How to find a good topic for a PhD research proposal?,1,0
Is it possible to cite from an abstract in a scientific paper,Can you cite articles if you only read the abstract?,0,0
Is it ethical for an instructor to use their own textbook in an undergraduate course?,Is it ethical to profit by having my students buy my textbook?,1,0
Reviewers had differing opinion on my manuscript,How to effectively address conflicting suggestions from reviewers,0,0
"Can I remind a professor that I submitted a ""good"" essay in her class? (LOR request)",How should I phrase an important question that I need to ask a professor?,1,0
Why are reports written in the third person passive?,Using first person or third person in papers?,1,0
Is Bsc from Netherlands in Computer Science eligible for M S from USA,Can I be admitted to a master's in the USA after a 3-year European bachelor's program?,1,0
Should I stress highlighted articles in my CV,Should you include press interviews and articles about your work in your CV?,1,0
How long should I wait before accepting a PhD admission offer in the US?,How much time should someone take to respond to a PhD admission offer?,1,0
Admission into top engineering graduate programs with a GPA just below the cutoff,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
What to buy for my British phd supervisor for christmas?,Is it standard for graduate students to get gifts for their advisors?,1,0
"When Does ""Adapting"" An Image Go Too Far?",How much do figures need to differ to avoid copyright claims?,0,0
How can I find if my numerical methods algorithm has already been devised?,How can I efficiently check the originality of my work?,1,0
"(Potentially) Low GPA with No Reserach Experience, Am I Screwed for math PhD program?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
"What is a ""normal"" teaching load for a Lecturer in a UK pre-'92 University?",Is 100 hours per year of teaching a heavy load for a lecturer?,1,0
"3.8 GPA in Major, 2 F's in non-major classes","3.8 GPA, but 3 Fs and 1 D on transcript",0,0
Would it be safe to assume that TA and tutor are the same thing?,What is the difference between a teaching assistant and an instructor?,1,0
Getting into a decent Ph.D. program with 3.3 GPA,How do you get a bad transcript past Ph.D. admissions?,1,0
How many full-time instructor positions to apply for as a Masters-holder?,How many faculty positions should one apply to?,1,0
Supervisor asking me to list a co-author who has literally done nothing,My advisor wants me to include a name of someone who has no contribution to the paper,1,0
Should students who copy homework answers from somewhere else state how they obtained the answer?,"Would it be considered cheating to ask for homework help on the internet, if I openly acknowledge the help received?",1,0
Is it common practice to insert images at the top of a page?,Academic publishing: why placing figures on top/bottom of pages in single-column layout?,0,0
How do commitees evaluate candidates from foreign / unknown universities?,How handicapped am I in graduate admissions if I graduated from a lower tier university?,1,0
"Is it better to publish a few papers in one journal, or one paper each in several (equally good) journals?",Is there a reason to spread your research into multiple journals instead of just one?,1,0
Why scientific articles do not include year/date?,Why don't authors include in their publications the duration of the research?,1,0
Does in review mean an external reviewer is assigned ?,What does the typical workflow of a journal look like?,0,0
professor pushing me to get result when nothing is right!,how to stop working for other people's thesis?,0,0
"How important is the grade for a course I took, if I want to pursue graduate studies in that field?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
Elsevier Journal waiting time after review process,What does the typical workflow of a journal look like?,0,0
I got a B- in Math. How bad is that for Econ?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
"PhD application with mediocre grades, 2 SCI co-authored pubs., LORs from very well knows profs. in the area?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
What time can be considered enough to withdraw my submission?,What does the typical workflow of a journal look like?,0,0
"struggling with procrastination, looking for strategies and ideas","Strategies to overcome ""academic-apathy"" in the final stages of the PhD?",0,0
Approaching a master's in humanities after STEM-focused undergrad,Graduate school admission with a degree in a different field,1,0
Can a cousin write a recommendation letter for graduate school?,Why can't friends or family members write recommendation letters for graduate admissions?,1,0
What is the usual dress code for academic workshops?,What do people usually wear to conferences?,0,0
best words to respond to a request for cv after graduation,Best way to respond to a request for CV after graduation,1,0
How to deal with my fear of large audiences?,Lecturer with anxiety. How to survive in academia?,1,0
"Correcting a paper that just came back from review, what should I do?",Can I correct a mistake that the reviewers didn't spot in a paper that has not been accepted yet?,1,0
Web scraping/email harvesting to contact survey respondents,"Ethics of scraping ""public"" data sources to obtain email addresses",0,0
How to find out whether potential advisor will retire soon?,Concerns about a very old PhD advisor?,0,0
"Is it polite or annoying to send a professor a short ""Thanks"" email?",Etiquette on sending a thank you e-mail to respondents who gave me helpful information,1,0
How to find out the impact factor of a journal?,Where can I find the Impact Factor for a given journal?,1,0
"If I submit a poster to ICDE, can I submit the full version of paper to another conference?",Can I submit the results of a poster to another conference as a full paper?,1,0
Is it okay to send a gentle reminder to professor,How should I phrase an important question that I need to ask a professor?,1,0
IEEE Computer Science conference paper: Author order if equal contribution?,Not being a first author diminishes the contribution of co-authors?,0,0
Legality and feasibility of digitizing old text books and course notes for private use,Is it okay to scan a book (that I own) strictly for personal use?,0,0
Changing major after BS and MS in CS and double major in Physics for PhD in Mathematics,Graduate school admission with a degree in a different field,0,0
How to contact another PI as a PhD student wishing to discuss their research?,How should I phrase an important question that I need to ask a professor?,1,0
why should you tell on a cheater on a test?,Is it okay to report classmates cheating on exams?,0,0
"Anyone dealt with ""KEI Journals""? What about the journal ""Quarterly Physics Review""?",How do you judge the quality of a journal?,0,0
Does a lecturer have the right to prevent students from making their notes public?,Is it okay to publish my personal notes from a lecture?,1,0
Does one have to list all publications on a CV?,Should I include a paper with a low impact factor in my CV,0,0
"Three given names, the second being my calling name: what to put on paper?","Choosing my name as an author when publishing a scientific paper, can I use my ""unofficial"" first name?",0,0
Is it dishonest to omit publications in one's CV?,Should I include a paper with a low impact factor in my CV,0,0
Still haven't received a reference letter from a professor even though I've reminded them twice about it already,"What can I do one day before admissions deadline, if I believe my recommendation letter writer will not submit in time?",0,0
Publication issue of a journal article in Elsevier,What does the typical workflow of a journal look like?,1,0
ScholarOne manuscript (Taylor and Francis): what the status under review mean?,What does the typical workflow of a journal look like?,0,0
I have submitted a manuscript by ScholarOne a month and a half ago,What does the typical workflow of a journal look like?,0,0
"Quit PhD two years ago, now I want to go back?",Going back to academia after quitting my Ph.D. and taking a year off?,0,0
How long does it take for the final editorial decision for an article?,What does the typical workflow of a journal look like?,1,0
"Imminent unemployment, I have a screwed up CV; incompetent in my own field of PhD. Hoping for some perspective and advise?","""I've somehow convinced everyone that I'm actually good at this"" - how to effectively deal with Imposter Syndrome",0,0
Dealing with 'less than optimal' data or study designs,Fifth year of my PhD and I hate my project. What should I do?,0,0
Is there more prestige publishing in a special or regular issue?,Prestige of publishing in special vs regular journal issue,1,0
When receiving an answer to a question do you respond with thank you?,Etiquette on sending a thank you e-mail to respondents who gave me helpful information,1,0
Can you get into Good PhD programs if you've ever failed a courses in undergrad?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
What is the percentage of Latino/Hispanic females with a Ph.D. degree?,Is this statistic about how many Latinos/Hispanics have a PhD in the USA correct?,1,0
Rejecting a offer after accepting it (PhD US - Europe),Rejecting a PhD offer after having accepted it. Advice?,1,0
Are (computer science) workshops less prestigious than conferences in general?,Do workshop publications hold the same value as conference publications in CS?,0,0
"A question about the ""Required reviews completed"" and ""under review""",What does the typical workflow of a journal look like?,0,0
How should I interpret advisor overly positive feedbacks?,How to work with an overly positive advisor?,1,0
"How to fill ""department"" for the author actually without department?","What to put in ""affiliation"" field when submitting paper without affiliation?",1,0
"I have a proof of a result in number theory, shorter than the existing proofs. Can such results be published and how?",I believe I have solved a famous open problem. How do I convince people in the field that I am not a crank?,1,0
The correlation between GPA in grad school and research ability,Importance of GPA and GRE scores for grad school admissions,1,0
Writing a function name in a normal paragraph in my dissertation,What are the conventions for indicating programming variables within text?,0,0
What to do (if something) when someone gets your paper wrong,How to react to your work being cited incorrectly or in a misleading way?,1,0
What are the benefits and purpose of presenting a paper in an academic conference?,Conferences as publication venues – black and white or is there a grey or third way?,1,0
Review article in an area already published few years ago,A systematic review already exists in the literature. When is a newer one required?,1,0
Do the yearly (worldcomp) conference recognized by Scientists?,How can I determine whether a conference is reputable?,0,0
What benefits are there to peer reviewing papers?,"As a Ph.D. student, should I spend time reviewing papers?",1,0
"In the US, is it culturally acceptable for a graduate student to give a small gift to a professor?","Is it appropriate to buy a ""thank you"" gift for a PhD supervisor?",1,0
How long decision in process normally takes?,What does the typical workflow of a journal look like?,0,0
Will a 3.8 GPA and 1 F with an explanation on transcript allow me to get into graduate school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
How do US professors consider about Chinese undergraduate candidates’ application for theoretical physics?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
What could be the affiliation if an author is currently not working anywhere?,"What to put in ""affiliation"" field when submitting paper without affiliation?",0,0
"Two different papers with the same title, how to split them up in Google Scholar",How to split two papers that Google Scholar incorrectly thinks are the same paper?,1,0
What affiliation do I choose if my scientific work is unrelated to my job?,"What to put in ""affiliation"" field when submitting paper without affiliation?",1,0
How CVs in discipline with numerous co-authors are examined?,How is an experimental particle physicist evaluated?,0,0
"Low Undergrad GPA but 2 years Lab experience since graduating, How do I know where to apply?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
Please I need a help about co-authors roles?,When should a supervisor be an author?,0,0
Do I need to ask a permission to acknowledge a respected mathematician in my paper?,Is it necessary to ask permission before including someone in the acknowledgements of a research paper?,1,0
May I mention in my CV that I am a reviewer for a journal if I co-refereed?,Refereeing papers on behalf of a professor: should it be listed on a CV?,0,0
How do I turn down postdoc offer for an industry job?,How should I phrase an important question that I need to ask a professor?,1,0
Can I update my research paper before the camera ready date?,Adding a citation after paper is accepted,0,0
Can anonymized teaching evaluations be made public in the United States?,University policy of publishing student course evaluations: Prevalence and pros and cons,0,0
"From ""Review in progress"" to ""Ready to review""",What does the typical workflow of a journal look like?,0,0
Under review since 9 months. Shall I send another email,What does the typical workflow of a journal look like?,0,0
45 and wanting to start Ed.D am I too old?!,How old is too old for a PhD?,0,0
Communication & Networks v/s Signal Processing & Optimization - what area to work in?,"I've been admitted to multiple PhD programs, how should I choose between them?",0,0
How to address any professor in formal letter,How to address a professor in letter?,1,0
Paper status changed from under review to Awaiting Decision,What does the typical workflow of a journal look like?,0,0
How to reference to a statement that itself is referenced by a paper other than original paper?,How to reference studies mentioned in a paper without having to read the original papers?,1,0
Peer reviewing process in top math journals,What does the typical workflow of a journal look like?,0,0
How to focus only on the problem at hand?,How to read papers without falling into a rabbit hole?,1,0
Is publishing as an undergraduate a thing that really happens?,How normal is it to have published as an undergraduate?,1,0
"Who determines data manipulation, fraud or honest mistake?",Will a mistake in my data collection for my thesis effect my whole grade?,0,0
How to write your research work in simple way,How to write an academic paper for the first time?,1,0
Status of my revised manuscript: editor decision changed to under review,What does the typical workflow of a journal look like?,0,0
How do I know that journal is good apart from the impact factor?,How do you judge the quality of a journal?,1,0
"About to submit my PhD thesis in 4 months, feeling lost about my future and inadequate for any job. What should I do?","""I've somehow convinced everyone that I'm actually good at this"" - how to effectively deal with Imposter Syndrome",0,0
2 degrees with average grades or 1 degree with excellent grades?,2 majors with average grades or 1 major with excellent grades?,1,0
My supervisor published our work without informing us. Can we retract the paper from the conference in anyway?,My advisor submitted a paper with my work without including me as an author,1,0
Why shouldn't an unsolicited email asking for opinion include the links to the articles?,How do researchers send unsolicited emails asking for feedback on their works?,1,0
How do researchers send unsolicited emails asking for feedback on their works?,What are the strategies for getting feedback on articles?,1,0
"How to determine if I'm just incompetent, or if my work is more difficult than expected?","""I've somehow convinced everyone that I'm actually good at this"" - how to effectively deal with Imposter Syndrome",1,0
Advisor as an assistant professor a reputed private R2 school vs a full professor at a R1 school for PhD,"I've been admitted to multiple PhD programs, how should I choose between them?",0,0
How do you cite an image no longer found on the internet,How to cite a source that has vanished due to link rot?,1,0
"When an article for a long time is under review ,how can we send a letter to editor for status manuscript","What should I do, as my submitted paper is still under review after 1 year?",1,0
Will a paper published in an unrelated/other sub-discipline matter for graduate admission?,Disadvantages to publishing outside field of projected study?,0,0
How to cite an answer in StackExchange?,Attributing contributions to academic work that occur in Stack Exchange,1,0
What should I do if my professors don't reply to my email for recommendation letter,No response from Professor; how should I remind him about writing a recommendation for me?,1,0
Having Trouble Finding a Faculty Member for Math Undergraduate Research,How should I start Undergraduate Research in Mathematics?,1,0
What to do if cited papers are not freely available while reviewing a manuscript?,I can't access a reference of an article I am reviewing: what shall I do?,0,0
Is it more difficult to publish in a journal when not affiliated with an institution?,Does one need to be affiliated with a university to publish papers?,1,0
Can we submit the papers accepted in international/national conference to arXiv?,"Is it allowed to submit accepted and published journal articles in Elsevier, to arXiv?",1,0
Will a low grade in my final year of an undergraduate program affect my chances of being accepted into graduate school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
Paper status with Associate editor after Under review,What does the typical workflow of a journal look like?,0,0
Is there anything I could do to get admitted into a PhD program?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
Same citation in multiple paragraphs (undergrad paper),How do I appropriately use inline citations for multiple quoted paragraphs?,0,0
Is it possible to be known in academia by a different name?,"If I publish under a pseudonym, can I still take credit for my work?",0,0
"Why is it bad practice to write ""In [1], it is shown that...""",Can cited works hold grammatical positions in sentences?,0,0
Manuscript under consideration after Editor Decision Started,What does the typical workflow of a journal look like?,0,0
"What does it mean when submission system says ""under review"" after submitting minor revisions?",What does the typical workflow of a journal look like?,1,0
"Low undergraduate GPA. Strong research profile. Any chances of getting into the likes of MIT, Caltech, etc?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
How to politely take back a request to be on an exam committee?,How to tell a faculty member that I don't need him on my thesis committee anymore?,1,0
How to assess an unknown journal's quality?,How do you judge the quality of a journal?,0,0
"If something is publicly visible in the Internet, does it mean I can use it for research?",Can I use images showing up in Google search for my presentation slides without violating any copyright?,1,0
Question regarding copying and pasting on exams,Is Wiley Plus able to detect when students are cheating?,0,0
Is it possible to do a PhD with a Professor Emeritus?,Any experience in working with aged emeritus supervisors?,0,0
What prevents people from manipulating data to write better papers?,How can editors and reviewers detect data manipulation?,0,0
How do I request feedback on my paper?,What are the strategies for getting feedback on articles?,1,0
What a PhD student should do when their supervisor orders them to have a name on their paper just because of grant purposes?,"What should PhD students do when they are told to add authors who did not contribute to the paper (e.g., head of school, international funders)?",1,0
What are the chances of a paper being accepted after,What does the typical workflow of a journal look like?,1,0
Where do new ideas come from in research?,How to come up with research ideas?,0,0
"I want to do MS in USA, My GPA 2.74. will I be eligible?","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
My paper was retracted – how can I handle this in my future career?,Editor rejected manuscript claiming it is similar to a not-yet-published manuscript (that I haven't seen). How to proceed?,0,0
"Error in master's thesis, I do not know what to do",Consequences of a master thesis with errors,0,0
