,Sentence1,Sentence2,Gold Label,is_sts
97,"What will be the impact of banning 500 and 1,000 banknotes on Indian stock markets?",What will be the result of blocking 500 to 1000 texts in stock market in India?,1,No
98,What is the difference between concentric contractions and eccentric contractions?,How are homosexual shorts different from eccentric shorts?,1,No
99,What does all this life mean?,What is the meaning of this life?,1,No
100,What job possibilities exist for a Bachelors in Homeland Security?,What job opportunities exist for an undergraduate in Homeland Security?,1,No
101,What are the best books for understanding Calculus?,Which books are best for understanding the calculations?,1,No
102,Why and how did you break up with her / him?,Why and how did you break up with her?,1,No
103,What is the best answer to what you have done in a job interview over the past two years?,What is the best answer to what you do in the two-year gap in a job interview?,1,No
104,"What stops the war on the lands,",What do countries do to prevent war?,1,No
105,How do I Become a Billionaire?,How can I become a millionaire?,1,No
106,Why is it philosophical to understand death?,Why does he see death?,1,No
107,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of the German Shepherd Dog?,1,No
108,What is the best way to quit smoking?,What is the best way to quit smoking?,1,No
109,Earthquake Resistant Homes?,Homes resistant to earthquakes?,1,No
110,What is the best phone to buy under 15k?,What is the best phone to buy under 15k?,1,No
111,Why do I keep getting fleas from my dogs?,Why do I get fleas from my dogs?,1,No
112,What year did the letter J come?,What year did letter J come from?,1,No
113,What are the most important books ever written?,What are the most important books?,1,No
114,How can I be a good speaker?,How can I be a good spokesperson?,1,No
115,How can I write a letter to Mr Narendra Modi?,How can I write a letter to Mr Narendra Modi?,1,No
116,What do you think of the Bermuda Triangle?,What do you think about the Bermuda Triangle?,1,No
117,What should someone do to overcome anxiety?,What should a person do to deal with anxiety?,1,No
118,How do I maintain my peace of mind?,How can I maintain my composure?,1,No
119,Which is better between KMC Manipal and KMC Mangalore?,Which one is better among KMC Manipal and KMC Mangalore?,1,No
120,How do I maintain my motivation to learn a language?,How do I stay motivated to learn a language?,1,No
121,Why should Shahrukh Khan be hated?,Why does one hate Shahrukh Khan?,1,No
122,What are the best self-help books you have ever read?,What are some of the best self-help books you've ever read?,1,No
123,How do I pass a drug test for methamphetamine?,How do I get tested for amphetamines?,1,No
124,How could start with open source development?,How could start with open source development?,1,No
125,Do cricketers even drink tea during a tea break?,Do cricket players really drink tea on a tea break?,1,No
126,Did she become pregnant while in the womb?,Does a fetus breathe when it is in a womb?,1,No
127,What are films with incest scenes?,What is a movie with a vibrating image?,1,No
128,"How much does your DNA change over time? If I cloned myself after 70 years, would the clone have the same hair color?","How much does your DNA change over time? If I were to clone myself over 70 years, would the clone have the same hair color?",1,No
129,Is Donald Trump taking cocaine as Howard Dean suggested?,"Is Donald Trump taking cocaine, as Howard Dean suggests?",1,No
130,How do I see the Comedy Nights show with Kapil live?,How can I watch Comedy Nights with Kapil?,1,No
131,How did you first get porn?,How did you first come into contact with porn?,1,No
132,What can I eat every day to be healthier?,What can I eat every day to be healthier?,1,No
133,How do I start preparing for the UGC net English literature latest syllabus?,How do I begin to prepare for the latest syllabus of UGC net English literature?,1,No
134,Why are saltwater taffy sweets imported to Greece?,Why are Saltwater Taffy candies imported to Greece?,1,No
135,When is it too late to learn the piano?,When is it too late to learn the piano?,1,No
136,How can we travel faster than light?,How can we travel faster than light?,1,No
137,What are the life lessons that Batman gives us?,What are the life lessons Batman teaches us?,1,No
138,How to prevent a criminal's attempt to kidnap you so you can escape unscathed.,How to thwart a criminal's attempt to kidnap you so you escape unscathed.,1,No
139,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: When an we expect Spotify in India?,1,No
140,Which book should I start with for the GATE stand?,Which book should I start with in preparation for GATE?,1,No
141,What is similar to 4Shared?,What is similar to 4Shared?,1,No
142,What are some of the best mountain climbing destinations in India?,What are the best places to learn in the mountains in India?,1,No
143,Can climate change be reversed?,Can climate change be reversed?,1,No
144,How do I post a question that was marked as needing improvement?,How do I post an issue that has been identified as requiring improvement?,1,No
145,How do I prepare for software interviews?,How do I prepare for computer interviews?,1,No
146,Does Rahul Gandhi have any chance to become next PM of India after Modi?,DOS Rahul Gandhi How Any Chance To Become Nest After OP India Abidar Modi?,1,No
147,How should I study,How should I study,1,No
148,Where and how to create a harvest circle?,Where and how do the crop circles get generated?,1,No
149,Does Baking Soda Pass the Urine Test?,Will confectionery help with sodium in the urine test?,1,No
150,What is Zika virus and how is it transmitted?,What is Zika virus and how is it transmitted?,1,No
151,What is the best way to learn Algebra by yourself?,What is the best way to learn algebra yourself?,1,No
152,What is the best place to have sex?,What is the best place for sex?,1,No
153,What do you think of the new MacBook Pro at the end of 2016?,"How do you feel about the new MacBook Pro, late 2016?",1,No
154,What are the major differences between Chinese culture and Western cultures?,What are the major differences between Chinese culture and western cultures?,1,No
155,Is it healthy to eat egg whites every day?,Is it healthy to eat egg whites every day?,1,No
156,How close is World War III?,How close is World War III?,1,No
157,"What are some interesting facts you know, and I don't know, but shouldn't?","What is an interesting fact that you know, I don't know, I don't know?",1,No
158,How can I hack someone's WhatsApp account?,How can I hack someones whatsapp account?,1,No
159,What is the best lesson in life?,What is the best lesson in life?,1,No
160,What is the best thing in everyday life that we can use to make his life easier?,What are the best hacks of everyday life that you can use to make your life easy?,1,No
161,Who is your favorite anime character and why?,Who is your favorite anime character and why?,1,No
162,How many Mechanical Engineers graduate from India every year?,How many engineers graduate from India per year?,1,No
163,How to start a successful private equity fund?,How do I start a successful private equity firm?,1,No
164,What is the medium budget for the three members (2-3 days) to visit the best places in Kerala?,What is the medium budget to visit the most populated areas of Kerala with three members (2-3 days)?,1,No
165,"If time has started because of the big bang, how can the big bang start because there is no time to start the big bang?","If time began because of the big bang, then how could the big bang start because there was no time for the big bang to start?",1,No
166,What is the difference between pleasure and masturbation?,What is the difference between pleasure and masturbation?,1,No
167,Do you have any psychic abilities?,Do you have any psychic abilities?,1,No
168,What are you taking on Urjit Patel as the new RBI ambassador?,R Rajit Patel What do you take as the new RBI Governor?,1,No
169,Do Trump voters notice that he has renewed all his campaign promises?,Do Trump voters care that he has changed all his promises?,1,No
170,"Can I learn while sleeping? If so, how?","Can I learn while sleeping? If so, how?",1,No
171,How can I stop being addicted to porn?,How do i stop being addicted to porn?,1,No
172,How is time travel possible?,How is it possible to travel in time?,1,No
173,How can one get a full face?,How to get a full face?,1,No
174,What’s the best time to have sex?,What is the best time to have sex?,1,No
175,Can we create free energy?,Can we create free energy?,1,No
176,What’s the funniest joke you’ve ever heard?,What's the funniest joke you've ever heard?,1,No
177,What are some movies that everyone should watch at least once in their life?,What are some movies that everyone needs to watch at least once in life?,1,No
178,Can World War 3 ever take place?,Will the third world war happen?,1,No
179,How can eating fish help with constipation?,How does eating prunes during constipation help?,1,No
180,Why is Barack Obama so important to the world?,Why is Barack Obama so important to the world?,1,No
181,Why does Pakistan support terrorism?,What is the reason for Pakistan to support terrorism?,1,No
182,What do you think is the best classic song of all time?,What do you think is the best classical song of all time?,1,No
183,Is there any other site similar to Quora?,Are there other sites similar to Quora?,1,No
184,What are the conditions in European refugee camps?,What are the conditions in European refugee camps?,1,No
185,How to develop a mindset?,How do I develop my presence in mind?,1,No
186,What are the good websites to learn C programming for begineer?,What are the best websites to learn C programming for a beginner?,1,No
187,Will the Supreme Court's decision to activate the national anthem before filming affect nationalism?,Will the decision of the Supreme Court to play the National Anthem before the movies affect your love for the country?,1,No
188,Why do people hate evening saga?,Why do people hate the twilight saga?,1,No
189,How can I improve my spoken English?,How can I improve my ability to speak English?,1,No
190,How can I find love in life?,How do I find love in life?,1,No
191,Is there a way to get rid of gynecomastia?,Is there any way to get rid of gynecomastia?,1,No
192,Are there scientific reasons behind Hindu temples?,Are there any scientific reasons behind the Hindu temples?,1,No
193,Where can I get super quality photos for any Sydney booth services?,Where can I find the highest quality homework ideas in Sydney?,1,No
194,How can I control my anger?,How can I control my anger?,1,No
195,How can I leave Quora?,How did I get away from Quora?,1,No
196,How does it feel to be gay in India?,How does it feel to be gay in India?,1,No
197,What will happen if dictatorship continues today?,What will happen if the dictatorship continues today?,1,No
198,What makes a good cup of coffee?,What makes a great cup of coffee great?,1,No
199,Is the US election bad?,Are the US elections rigged?,1,No
200,What is the most compelling fact about Bengaluru?,Je! What is the most interesting fact about Bengaluru?,1,No
201,Which book is best for Nita's chemistry?,Which book is best for Neet chemistry?,1,No
202,Why are so many questions posted in Quora that are answered so easily using Google?,Why are so many questions that are posted so easy to define them by using the Google?,1,No
203,What are the best movies of 2016?,Which are the best movies of 2016?,1,No
204,What is the effect of the record ban of 500 and 1000 Rs?,What would be effect of 500 and 1000 Rs notes ban?,1,No
205,How does light close with gravity?,How Light Bend With Gravity?,1,No
206,How do you send a private message to someone you follow on Quora?,How do you send a private message to someone you follow on Quora?,1,No
207,How to train a white pit bull with brown spots?,How do you train a white Pitbull with brown spots?,1,No
208,What are the most extremist questions asked on Kovara?,What are some of the most surreal questions asked in the Quora?,1,No
209,When is the best time to have sex?,When is the best time to have sex?,1,No
210,Is textile engineering good?,Is Textile Engineering Good?,1,No
211,How does Quora quickly mark questions that need to be improved?,How quickly does Quora label issues as needing improvement?,1,No
212,How do I contact a good hacker?,How do I contact a good hacker?,1,No
213,What is the meaning of life?,What is the meaning and purpose of life?,1,No
214,I'm 15 year old my height is 5 feet 7 inches and my weight is 50 kg what should I do to gain weight?,"I am 15 years old, my height is 5 feet 7 inches and my weight is 50 kg. What should I do to gain weight?",1,No
215,Why is Saltwater taffy candy imported in China?,Why is Saltwater taffy candy imported in China?,1,No
216,Is it too late to go to medical school and become a doctor?,Is it too late to go to medical school and become a doctor?,1,No
217,"What government exams, other than the GATE, can final year computer science students give?","What state exams, apart from GATE, can final year computer science students take?",1,No
218,Psychopaths: Do you find babies cute?,Psychopaths: Do you like babies?,1,No
219,Who are some of the great coders of Tamil Nadu?,Who are some of the great coders from Tamil Nadu?,1,No
220,What is the ultimate way to serve humanity?,What is the ultimate way to serve humanity?,1,No
221,What will be the resolution to be had for 2016?,What will be the resolution one should have for the year 2016?,1,No
222,What are Balaji Viswanathan's views on caste based reservations in India?,What is Balaji Viswanathan's Vivas on Costa Based ReservoirOns in India?,1,No
223,What is the main difference between socialism and communism?,What are the main differences between socialism and communism?,1,No
224,"Which to learn, C ++ or C #?","Which one to learn, C ++ or C #?",1,No
225,What is the best evidence for Jesus' history?,What is the best evidence for a historical Jesus?,1,No
226,What are some of the best part-time jobs where you can work from home and make some good cash?,What are some of the best part-time jobs where you can work from home and make some good cash?,1,No
227,Does Trump have a chance of winning the presidency?,Does Trump have a chance to win the presidency?,1,No
228,How do I meet Suresh Line?,How can I meet Suresh Raina?,1,No
229,"Can fossil records be used as evidence for evolution? If so, how?","Can fossil records be used as evidence for evolution? If so, how?",1,No
230,What should I do if someone posted a porn video under my name?,What should I do if someone posts a porn video under my name?,1,No
231,How to return the former?,How do I get my ex back?,1,No
232,What is the best way to prepare for IELTS?,What is the best way to prepare for IELTS?,1,No
233,How do you know if a woman is dating online?,How do I know if a girl who walks online really lives me?,1,No
234,What is GDP?,What is a GDP?,1,No
235,What are the home remedies for piles or anal fissure?,What are home remedies for a lump or anus?,1,No
236,What can be done to reduce pollution in India?,What can be done to reduce pollution in India?,1,No
237,May I have a telephone number?,Can you get a list of individual telephone numbers?,1,No
238,Do you need to wake up REM sleep to remember your dreams?,Do you have to wake up during REM sleep to remember your dreams?,1,No
239,How do I learn to sing?,How do I learn how to sing?,1,No
240,Hooker is the best SSC and banking institute in Chandigarh?,Which is the best SSC and Banking Training Institute in Chandigarh?,1,No
241,How can I wake up early in the morning?,How can I get up early in the morning?,1,No
242,What is the difference between the iPhone 6s and the iPhone 6s Plus?,What is the difference between the iPhone 6s and iPhone 6s Plus?,1,No
243,How can I lose weight without exercising?,How do I lose weight without doing any sport?,1,No
244,Why do digital cameras have a shutter sound?,Why do digital cameras have shutter sound?,1,No
245,What were the main and most important political causes of World War 1?,What were the main and most important political causes of the First World War?,1,No
246,What is the difference between HDD and SSD in layman's sense?,What is the difference between Beethoven Haddy and Sad in Lyman's terms?,1,No
247,How is the job situation in New Zealand for computer science graduates?,What is the employment situation in New Zealand for computer science graduates?,1,No
248,Ciamar a bhithinn a ’leasachadh làrach-lìn e-malairt?,How do I develop an e-commerce website?,1,No
249,What are some of the pros and cons of a Hillary Clinton presidency?,What are the pros and cons of the Hillary Clinton presidency?,1,No
250,Which is the best coaching center for SSC and Banking in Chandigarh?,Which is the best coaching center for SSC and Banking in Chandigarh?,1,No
251,Why do companies issue bonus shares?,Why do companies issue bonus shares?,1,No
252,How can swapping 500 and 1000 rupees banknote run out of money in India,How can the change of 500 and 1000 rupee notes end the black money in India?,1,No
253,Is there a telescope powerful enough to see the remaining evidence of NASA's lunar landings?,Are telescopes powerful enough to see evidence left over from NASA's landing on the moon?,1,No
254,How on earth could I dress as a 1990s exerciser in the summer?,I How on Earth have I dressed like a summer workout since the 1990s?,1,No
255,My daughter stopped talking to me. What can I do?,My girlfriend stopped talking to me. What should I do?,1,No
256,What will the property look like now after 500 and 1000 scratches?,What will the real estate look like now after the 500 and 1000 scraping?,1,No
257,What are the best interview questions ever asked?,What are the best interview questions to ask so far?,1,No
258,Why is there so much in Throne Games?,Why there is so much nudity content in Game of Thrones?,1,No
259,What programming language do I need to learn if I want to play 2D MMORPG game?,What programming language should I study if I want to make a 2D MMORPG game?,1,No
260,What is your view on the recent demonetisation in India?,What is your opinion on the recent demonetization in India?,1,No
261,Why was the cyrus mistry removed?,Why was cyrus mistry removed?,1,No
262,What is the first moment you remember in your life?,What was the first moment you remember in your life?,1,No
263,What should I do after completing the BDS?,What can I do after completing BDS?,1,No
264,I am 18 years old. What should I do?,I have 18 years. What should I do?,1,No
265,Should you post pictures on social media?,Should you post a picture on social media?,1,No
266,Can we control our actions in a dream?,Can you control your actions in your dreams?,1,No
267,Did Trump win the election?,Did Trump win the election?,1,No
268,What are the new marketing techniques for language schools?,What are some new marketing techniques for language schools?,1,No
269,What are the easy ways to earn money online?,What are the easy ways to earn money online?,1,No
270,What to do in the capacitor?,What is the reactance in the capacitor?,1,No
271,Why are freshwater candies imported into Australia?,Why is salty candy so popular in Australia?,1,No
272,What are some of the best music albums ever?,What are some of the best music albums ever?,1,No
273,What about being the mother of children who don't smoke?,What's it like to be a non-smoking mother of smoking children?,1,No
274,How can I gain weight in a healthy way?,How could I gain weight in a healthy way?,1,No
275,What do I need to do to get a job at Microsoft?,What can I do to get a job at Microsoft?,1,No
276,Can it travel back in time?,Is it physically possible to travel back in time?,1,No
277,How do I recover deleted messages in Facebook?,How can I recover deleted messages on Facebook?,1,No
278,Life can be boring. What to do?,Life can be boring. What to do?,1,No
279,What would be a cool way to commit suicide?,What would be the best way to commit suicide?,1,No
280,Can we use radiation in the cherenkov environment (with gamma rays or similar) to visualize the surface of a planet from here with a ground based telescope?,Could we use cherenkov atmosphere radiation (with gamma rays or similar) to image the surface of a planet from here with ground based telescopes?,1,No
281,What is the best age to teach a child to swim?,What is the best age to teach a child how to swim?,1,No
282,What will cause the AMP to cut?,What would cause an AMP to cut out?,1,No
283,Why does Facebook Messenger use long polls over WebSockets?,Why does Facebook Messenger use long-term selections on WebSocket?,1,No
284,What are the chances of ww3?,What are the prospects for WW3?,1,No
285,Who will win the 2016 presidential election?,Who will win the 2016 presidential election?,1,No
286,How is specific heat and heat capacity different?,What is the difference between heat and heat capacity?,1,No
287,What are some interesting things to do when you're bored?,What are some interesting things to do when bored?,1,No
288,Film Review: What is your review of Dangam Aamir Khan (2016) film?,Movie Review: What's Your Review of Aamir Khan's Dangal (2016 movie)?,1,No
289,"What do you think about the movie, ""Interstellar""?","What do you think about the movie, “Interstellar”?",1,No
290,Are most blind people completely blind?,Are most blinds completely blind?,1,No
291,How does anyone know they have social anxiety?,How does someone know that they have social anxiety?,1,No
292,Is evolution real or not? How has this been proven?,Is Evolution Real? How is this proven?,1,No
293,"Is the US Constitution considered a living document? If so, why?","2 Us Constitution Considered That A Living Document? Ifa s, huh?",1,No
294,"What makes you think that ""everything happens for a good reason""?","What makes you believe that ""everything happens for a good reason""?",1,No
295,How can Quora attract new users?,How can Quora attract beginners?,1,No
296,What is white hat SEO?,What is white hat SEO?,1,No
297,Where can I get free books to read or download?,Where can I get free books to read or download?,1,No
298,What makes India different from the rest of the world?,What makes India different from the rest of the world?,1,No
299,Why does Dubai Police drive fast car?,Why do Dubai police look after cars?,1,No
300,Can you wake up and dream?,Can you dream when awake?,1,No
301,How can I hack whatsapp account?,How can I hack WhatsApp account?,1,No
302,What is the best IT field for newcomers?,What is the best IT field for freshmen?,1,No
303,ကျား၊ How do we account for transgender people if we build a social network?,How the Bay Account for Transgender People If Gender Is Socially Constructed?,1,No
304,What has been the positive track record of Hillary Clinton as Secretary of State?,What were Hillary Clinton's positive results as Secretary of State?,1,No
305,How can I improve my English language skills? I am basically of gu gurat origin.,How can I improve my English? I'm mostly a Gujarati background.,1,No
306,What is it like to work in the Indian Army?,What is it like to work in the Indian Army?,1,No
307,What's the best way for a native speaker to learn English?,What is the best way for a native Chinese speaker to learn English?,1,No
308,What is the best way to do SEO in 2016?,What is the best way to do SEO in 2016?,1,No
309,What determines your happiness?,What defines happiness for you?,1,No
310,What would a male Neanderthal think of a modern woman?,What would a male Neanderthal think of a modern woman?,1,No
311,What is the fastest way to get paid?,What is simply the fastest way to make money?,1,No
312,What can one do to get relief from severe chronic pain?,What can one do to relieve severe chronic pain?,1,No
313,What can I do to improve my English speaking skills?,What can I do to improve my English speaking skills?,1,No
314,What are the best history podcasts?,What are the best history podcasts?,1,No
315,Have you faced any strangers? Please be honest. Don’t make a story.,Have you ever encountered any alien? Please be true.Do not make a story.,1,No
316,What are the first 5 things I should not do when jumping?,What are the top 5 things I should definitely not do while flying?,1,No
317,How do I recover my Hotmail password?,How do I find my Hotmail password?,1,No
318,Is this really life or is this some fantasy?,Is that real life or is that some kind of fantasy?,1,No
319,How do I learn Python systematically?,How do I learn Python systematically?,1,No
320,How do I know a guy likes you?,I know boys like you?,1,No
321,I have a 3d printer. How can I make money on it?,I have a 3d printer. How can I make money off it?,1,No
322,How much does it cost to develop an app like Zomato?,How much does it cost to develop an app like Zomato?,1,No
323,Why do people ask questions in Guevara that can be easily found with a simple Google search?,Why can people ask questions about Quora that can be easily found with a simple Google searh?,1,No
324,What is the reason for India's failure in the Olympics?,What is the reason why India fails at the Olympics?,1,No
325,How do I plan a 4 day trip to Goa?,How do I plan a 4 day trip to Goa?,1,No
326,What will happen to EU citizens in the UK after Brexit?,What will happen to EU citizens in UK after brexit?,1,No
327,Why does the temperature decrease with increasing altitude?,Why does temperature decrease when altitude increases?,1,No
328,What are some of the best jokes you've ever heard?,What are the best jokes you’ve ever heard?,1,No
329,How can I surprise a girl who hates me?,How can I impress a girl who hates me?,1,No
330,How can I improve my pronunciation in English?,How can I improve my pronunciation in English?,1,No
331,How can I be encouraged to take part in daily physical activity?,How can I be motivated to go to the gym every day?,1,No
332,Where can I get fantastic value in Sydney for floor tiles?,Where can I get great value for floor tiles in Sydney?,1,No
333,What are the best ways to learn to code in a short amount of time?,What are the best ways to learn to code in a short time?,1,No
334,What is the best gift you have ever received?,What is the best gift you have ever received?,1,No
335,When I become a Millionaire will I tell family and friends?,If I become a millionaire should I tell families and friends?,1,No
